Bezirk;anzahl_gebaeude_insgesamt;wohnflaeche_gebaeude_insgesamt;anzahl_wohnungen_insgesamt;anzahl_gebaeude_1FH;wohnflaeche_gebaeude_1FH;anzahl_gebaeude_2FH;wohnflaeche_gebaeude_2FH;anzahl_wohnungen_2FH;anzahl_gebaeude_MFH;wohnflaeche_gebaeude_MFH;anzahl_wohnungen_MFH;notreqd;notreqd;notreqd
Mitte; 12 903; 121 430; 183 042;556;624;172;315;344; 12 127; 119 362; 178 945;48; 1 129; 3 197
Friedrichsh.-Kreuzb.; 9 386; 96 714; 142 669;291;366;85;169;170; 8 998; 95 869; 141 434;12;310;774
Pankow; 34 561; 143 624; 201 401; 17 227;19548; 1 503; 2 680; 3 006; 15 814; 121 205; 180 799;17;191;369
Charlbg.-Wilmersd.; 17 503; 136 503; 176 381; 3 725;6219;680; 1 677; 1 360; 13 039; 127 567; 168 850;59; 1 039; 2 446
Spandau; 26 754; 84 664; 115 470; 16 174;19093; 1 543; 2 812; 3 086; 9 022; 62 572; 95 816;15;188;394
Steglitz-Zehlendorf; 39 451; 127 844; 151 617; 21 672;31177; 2 762; 6 178; 5 524; 14 935; 89 618; 122 171;82;871; 2 250
Tempelh.-Schöneb.; 28 182; 131 938; 177 369; 12 721; 15 356; 1 450; 2 690; 2 900; 13 976; 113 279; 160 367;35;612; 1 381
Neukölln; 27 337; 110 834; 159 732; 15 137; 16 678; 1 411; 2 544; 2 822; 10 760; 91 179; 140 852;29;432;921
Treptow-Köpenick; 35 488; 94 150; 129 791; 22 147; 24 013; 2 005; 3 614; 4 010; 11 307; 66 264; 103 142;29;260;492
Marzahn-Hellersd.; 29 147; 92 720; 131 009; 20 187; 22 351; 1 811; 3 129; 3 622; 6 950; 64 129; 102 062;199; 3 110; 5 138
Lichtenberg; 15 067; 92 987; 143 822; 5 270; 6 197;571; 1 022; 1 142; 9 189; 84 973; 135 516;37;795; 1 894
Reinickendorf; 34 849; 97 883; 127 237; 21 955; 26 781; 2 772; 5 162; 5 544; 10 106; 65 662; 99 043;16;278;695
