Bezirk;anzahl_gebaeude_insgesamt;wohnflaeche_gebaeude_insgesamt;anzahl_wohnungen_insgesamt;anzahl_gebaeude_1FH;wohnflaeche_gebaeude_1FH;anzahl_gebaeude_2FH;wohnflaeche_gebaeude_2FH;anzahl_wohnungen_2FH;anzahl_gebaeude_MFH;wohnflaeche_gebaeude_MFH;anzahl_wohnungen_MFH;notreqd;notreqd;notreqd
Mitte;13.033;124.279;185.876;565;652;177;337;354;12.242;122.115;181.542;49;1.176;3.415
Friedrichsh.-Kreuzb.;9.452;98.599;144.513;291;388;89;179;178;9.060;97.723;143.270;12;310;774
Pankow;35.979;149.570;206.497;18.347;21.166;1.552;2.799;3.104;16.062;125.404;184.637;18;201;409
Charlbg.-Wilmersd.;17.773;138.599;177.961;3.928;6.630;688;1.709;1.376;13.100;129.245;170.328;57;1.014;2.329
Spandau;27.563;85.947;116.528;16.937;20.110;1.571;2.889;3.142;9.040;62.760;96.055;15;188;394
Steglitz-Zehlendorf;40.074;129.856;152.931;22.214;32.229;2.776;6.259;5.552;15.000;90.489;122.862;84;879;2.303
Tempelh.-Schöneb.;28.396;132.882;178.003;12.899;15.633;1.457;2.711;2.914;14.005;113.926;160.809;35;612;1.381
Neukölln;27.679;111.581;160.411;15.444;17.175;1.433;2.593;2.866;10.771;91.329;141.004;31;485;1.097
Treptow-Köpenick;36.402;96.681;132.386;22.889;25.074;2.051;3.723;4.102;11.432;67.613;104.864;30;270;531
Marzahn-Hellersd.;30.356;94.582;132.819;21.311;23.831;1.852;3.210;3.704;6.992;64.383;102.483;201;3.158;5.321
Lichtenberg;16.134;95.883;146.953;6.218;7.472;592;1.065;1.184;9.286;86.562;137.584;38;784;1.967
Reinickendorf;35.363;98.913;128.106;22.414;27.496;2.797;5.217;5.594;10.136;65.922;99.403;16;278;695
