Bezirk;anzahl_gebaeude_insgesamt;wohnflaeche_gebaeude_insgesamt;anzahl_wohnungen_insgesamt;anzahl_gebaeude_1FH;wohnflaeche_gebaeude_1FH;anzahl_gebaeude_2FH;wohnflaeche_gebaeude_2FH;anzahl_wohnungen_2FH;anzahl_gebaeude_MFH;wohnflaeche_gebaeude_MFH;anzahl_wohnungen_MFH;notreqd;notreqd;notreqd
Mitte;13.230;128.155;191.327;569;662;183;369;366;12.426;125.810;186.444;52;1.314;3.948
Friedrichsh.-Kreuzb.;9.661;102.130;148.943;294;393;87;169;174;9.268;101.261;147.702;12;307;773
Pankow;36.993;154.749;212.111;19.021;22.127;1.584;2.880;3.168;16.366;129.454;189.248;22;288;674
Charlbg.-Wilmersd.;17.928;140.816;180.140;3.977;6.747;693;1.727;1.386;13.200;131.278;172.208;58;1.064;2.569
Spandau;27.963;87.057;117.567;17.272;20.606;1.594;2.948;3.188;9.080;63.261;96.642;17;243;465
Steglitz-Zehlendorf;40.621;132.559;155.472;22.580;32.984;2.771;6.283;5.542;15.183;92.324;124.777;87;969;2.573
Tempelh.-Schöneb.;28.586;133.892;178.965;13.033;15.872;1.466;2.737;2.932;14.050;114.646;161.511;37;638;1.489
Neukölln;27.982;112.635;161.556;15.673;17.537;1.464;2.668;2.928;10.813;91.918;141.727;32;512;1.228
Treptow-Köpenick;37.405;101.540;139.146;23.507;25.978;2.089;3.821;4.178;11.767;71.203;109.916;42;538;1.545
Marzahn-Hellersd.;31.488;96.988;135.816;22.306;25.217;1.902;3.305;3.804;7.068;65.020;103.382;212;3.445;6.324
Lichtenberg;17.123;99.966;152.374;6.969;8.495;608;1.113;1.216;9.500;89.286;141.055;46;1.073;3.134
Reinickendorf;35.701;100.109;129.446;22.683;28.015;2.821;5.272;5.642;10.179;66.443;99.995;18;380;1.126
