Bezirk;anzahl_gebaeude_insgesamt;wohnflaeche_gebaeude_insgesamt;anzahl_wohnungen_insgesamt;anzahl_gebaeude_1FH;wohnflaeche_gebaeude_1FH;anzahl_gebaeude_2FH;wohnflaeche_gebaeude_2FH;anzahl_wohnungen_2FH;anzahl_gebaeude_MFH;wohnflaeche_gebaeude_MFH;anzahl_wohnungen_MFH;notreqd;notreqd;notreqd
Mitte;12921;121696;183265;558;630;173;318;346;12142;119619;179164;48;1129;3197
Friedrichsh.-Kreuzb.;9393;97025;142903;292;369;85;169;170;9004;96178;141667;12;310;774
Pankow;34905;144848;202319;17512;19960;1517;2709;3034;15859;121988;181404;17;191;369
Charlbg.-Wilmersd.;17566;136933;176871;3781;6324;681;1681;1362;13045;127889;169282;59;1039;2446
Spandau;26875;84886;115665;16282;19258;1553;2834;3106;9025;62606;95883;15;188;394
Steglitz-Zehlendorf;39549;128131;151749;21760;31360;2762;6189;5524;14945;89711;122215;82;871;2250
Tempelh.-Schöneb.;28212;132160;177551;12744;15403;1450;2690;2900;13983;113454;160526;35;612;1381
Neukölln;27378;110924;159788;15170;16745;1416;2556;2832;10763;91191;140865;29;432;921
Treptow-Köpenick;35665;94538;130176;22301;24242;2015;3637;4030;11320;66399;103353;29;260;492
Marzahn-Hellersd.;29417;93082;131320;20441;22675;1823;3151;3646;6954;64145;102095;199;3110;5138
Lichtenberg;15241;93642;144572;5414;6392;575;1031;1150;9215;85423;136114;37;795;1894
Reinickendorf;34968;98107;127375;22065;26950;2778;5175;5556;10109;65704;99059;16;278;695
