"bezirk";"anzahl_gebaeude_insgesamt";"wohnflaeche_gebaeude_insgesamt";"anzahl_wohnungen_insgesamt";"anzahl_gebaeude_1FH";"wohnflaeche_gebaeude_1FH";"anzahl_gebaeude_2FH";"wohnflaeche_gebaeude_2FH";"anzahl_wohnungen_2FH";"anzahl_gebaeude_MFH";"wohnflaeche_gebaeude_MFH";"anzahl_wohnungen_MFH";"abrechnungsjahr"
"tempelhof_schoeneberg";28451;133247;178370;12934;15700;1462;2721;2924;14019;114201;161063;2015
"neukoelln";27770;111792;160572;15522;17303;1443;2615;2886;10774;91389;141067;2015
"treptow_koepenick";36695;97968;134184;23079;25350;2069;3769;4138;11514;68493;106027;2015
"marzahn_hellersdorf";30729;95259;133450;21647;24313;1874;3252;3748;7007;64534;102733;2015
"lichtenberg";16428;97158;148401;6448;7800;596;1073;1192;9344;87474;138711;2015
"reinickendorf";35471;99219;128359;22505;27664;2806;5236;5612;10144;66042;99547;2015
"mitte";13139;126524;188854;569;662;183;369;366;12337;124303;184452;2016
"friedrichshain_kreuzberg";9585;100878;147116;292;389;87;169;174;9194;100012;145877;2016
"pankow";36709;153388;210571;18835;21865;1576;2862;3152;16276;128374;187910;2016
"charlottenburg_wilmersdorf";17860;139955;179292;3954;6691;691;1721;1382;13157;130479;171387;2016
"spandau";27851;86664;117161;17190;20476;1588;2934;3176;9058;63067;96401;2016
"steglitz_zehlendorf";40519;131870;154649;22520;32823;2777;6290;5554;15137;91874;124265;2016
"tempelhof_schoeneberg";28539;133605;178657;13003;15811;1465;2732;2930;14034;114425;161235;2016
"neukoelln";27875;112107;160908;15607;17430;1452;2637;2904;10785;91554;141300;2016
"treptow_koepenick";37071;99900;137057;23325;25712;2082;3795;4164;11624;69860;108039;2016
"marzahn_hellersdorf";31124;95980;134284;22013;24810;1889;3283;3778;7018;64610;102832;2016
"lichtenberg";16789;98441;149837;6710;8150;606;1108;1212;9433;88372;139865;2016
"reinickendorf";35583;99672;128845;22593;27843;2809;5242;5618;10164;66278;99835;2016
"mitte";13230;128155;191327;569;662;183;369;366;12426;125810;186444;2017
"friedrichshain_kreuzberg";9661;102130;148943;294;393;87;169;174;9268;101261;147702;2017
"pankow";36993;154749;212111;19021;22127;1584;2880;3168;16366;129454;189248;2017
"charlottenburg_wilmersdorf";17928;140816;180140;3977;6747;693;1727;1386;13200;131278;172208;2017
"spandau";27963;87057;117567;17272;20606;1594;2948;3188;9080;63261;96642;2017
"steglitz_zehlendorf";40621;132559;155472;22580;32984;2771;6283;5542;15183;92324;124777;2017
"tempelhof_schoeneberg";28586;133892;178965;13033;15872;1466;2737;2932;14050;114646;161511;2017
"neukoelln";27982;112635;161556;15673;17537;1464;2668;2928;10813;91918;141727;2017
"treptow_koepenick";37405;101540;139146;23507;25978;2089;3821;4178;11767;71203;109916;2017
"marzahn_hellersdorf";31488;96988;135816;22306;25217;1902;3305;3804;7068;65020;103382;2017
"lichtenberg";17123;99966;152374;6969;8495;608;1113;1216;9500;89286;141055;2017
"reinickendorf";35701;100109;129446;22683;28015;2821;5272;5642;10179;66443;99995;2017
