Bezirk;anzahl_gebaeude_insgesamt;wohnflaeche_gebaeude_insgesamt;anzahl_wohnungen_insgesamt;anzahl_gebaeude_1FH;wohnflaeche_gebaeude_1FH;anzahl_gebaeude_2FH;wohnflaeche_gebaeude_2FH;anzahl_wohnungen_2FH;anzahl_gebaeude_MFH;wohnflaeche_gebaeude_MFH;anzahl_wohnungen_MFH;notreqd;notreqd;notreqd
Mitte;12942;122070;183592;561;644;175;324;350;12158;119973;179484;48;1129;3197
Friedrichsh.-Kreuzb.;9406;97272;143110;292;370;86;172;172;9016;96419;141872;12;310;774
Pankow;35309;146504;203736;17836;20437;1535;2751;3070;15920;123115;182421;18;201;409
Charlbg.-Wilmersd.;17610;137297;177094;3811;6393;681;1683;1362;13060;128195;169538;58;1026;2383
Spandau;27129;85313;116018;16521;19567;1561;2865;3122;9032;62693;95981;15;188;394
Steglitz-Zehlendorf;39676;128565;152018;21869;31586;2764;6202;5528;14961;89907;122371;82;871;2250
Tempelh.-Schöneb.;28300;132405;177722;12825;15516;1452;2696;2904;13988;113580;160612;35;612;1381
Neukölln;27450;111074;159889;15235;16849;1422;2569;2844;10764;91224;140889;29;432;921
Treptow-Köpenick;35937;95167;130850;22538;24573;2029;3674;4058;11341;66659;103762;29;260;492
Marzahn-Hellersd.;29756;93590;131865;20762;23086;1829;3164;3658;6966;64229;102307;199;3110;5138
Lichtenberg;15530;94320;145246;5678;6729;582;1046;1164;9233;85767;136450;37;779;1954
Reinickendorf;35097;98378;127560;22180;27139;2783;5186;5566;10118;65775;99119;16;278;695
