"","abrechnungsjahr","mean_spz_verberauch"
"1",2002,181.100909090909
"2",2003,182.553140495868
"3",2004,186.97350877193
"4",2005,175.72856187291
"5",2006,166.160662251656
"6",2007,165.254074074074
"7",2008,158.509768518519
"8",2009,161.486912442396
"9",2010,154.254382022472
"10",2011,154.186927710843
"11",2012,143.637664233577
"12",2013,152.297096774194
"13",2014,157.788888888889
"14",2015,130.135333333333
"15",2016,136.108347107438
"16",2017,131.448518518519
"17",2018,133.582222222222
