"","waermepumpe","erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr"
"1",0,0.387984420380428,0.322205173028501,0,0.289810406591071,0,0,2002
"2",0,0.53964170514522,0.0831808881154712,0,0.377177406739309,0,0,2003
"3",0,0.444625291634127,0.0690379048984172,0,0.486336803467456,0,0,2004
"4",0,0.435322334138891,0.204452754017957,0.000723529490622709,0.35950138235253,0,0,2005
"5",0,0.469631770146937,0.209823420759086,0.00560568068985624,0.314939128404121,0,0,2006
"6",0,0.472065018547203,0.205598524632949,0.000887284573780905,0.321449172246067,0,0,2007
"7",0,0.415077970817121,0.335682562803362,0.00362924809869763,0.24561021828082,0,0,2008
"8",0.000576194855378594,0.318753050172784,0.416294484223418,0.0137956213848559,0.250580649363563,0,0,2009
"9",0.00171798972925151,0.224314653266704,0.430728350666663,0.00968630221219589,0.294167032839734,0.0177532988208285,0.0216323724646227,2010
"10",0.000596927667964504,0.181779359312765,0.566219359012382,0.0187589221020609,0.198850000720763,0.00981276190776985,0.0239826692762959,2011
"11",0,0.157528026805911,0.640632226247325,0.00865490190560897,0.163457148056272,0.0103601550630784,0.0193675419218045,2012
"12",0,0.142376390925874,0.610119324912213,0.00231580374567947,0.238339914461023,0,0.00684856595521063,2013
"13",0,0.251060266134237,0.231974168613548,0,0.491158631708072,0,0.0258069335441431,2014
"14",0.000748903352362808,0.297746303915674,0.57055304606506,0.000230204331620872,0.124692870348762,0.00356798954304281,0.0024606824434778,2015
"15",0,0.353638536259092,0.566057252974874,0.000227687902962074,0.0791889397075352,0.000887583155536911,0,2016
"16",0.000329442285360704,0.450570077865268,0.475797469935398,0.00201887910091404,0.0565645093149358,0.0126695091657335,0.00205011233238933,2017
"17",0,0.732021811227046,0.267978188772954,0,0,0,0,2018
