"plz";"note";"qkm";"einwohner";"Freq";"prop"
12277;"12277 Berlin";6,652176;13278;17;0,209308052203891
12279;"12279 Berlin";1,720959;16381;2;0,0246244767298695
12305;"12305 Berlin";4,029039;20742;4;0,049248953459739
12309;"12309 Berlin";2,949486;15900;3;0,0369367150948042
12347;"12347 Berlin Britz";3,996558;17699;18;0,221620290568825
12349;"12349 Berlin Buckow";6,508299;21692;26;0,320118197488303
12351;"12351 Berlin Buckow";3,340914;19154;108;1,32972174341295
12353;"12353 Berlin Gropiusstadt";2,743751;31768;137;1,68677665599606
12355;"12355 Berlin Rudow";8,044608;27263;39;0,480177296232455
12357;"12357 Berlin Rudow";3,792748;13849;7;0,0861856685545432
12359;"12359 Berlin Britz";4,790542;19945;5;0,0615611918246737
12435;"12435 Berlin Alt Treptow";3,940806;16319;60;0,738734301896085
12437;"12437 Berlin Baumschulenweg";6,463157;21740;42;0,517114011327259
12439;"12439 Berlin Niederschöneweide";3,456755;9929;46;0,566362964786998
12487;"12487 Berlin";6,373276;18147;74;0,911105639005171
12489;"12489 Berlin Teltowkanal III";6,149373;15233;26;0,320118197488303
12524;"12524 Berlin Altglienicke";8,069618;25446;60;0,738734301896085
12526;"12526 Berlin Bohnsdorf";6,372298;11157;3;0,0369367150948042
12527;"12527 Berlin Schmöckwitz";26,248284;9425;4;0,049248953459739
12559;"12559 Berlin Köpenick";37,685058;17643;48;0,590987441516868
12587;"12587 Berlin Wiesengrund";15,323231;17717;34;0,418616104407781
12619;"12619 Berlin";2,68806;25458;57;0,70179758680128
12621;"12621 Berlin Kaulsdorf";8,173944;16074;8;0,098497906919478
12623;"12623 Berlin Mahlsdorf";13,479587;27380;5;0,0615611918246737
12627;"12627 Berlin Hellersdorf";3,992866;35353;169;2,08076828367397
12629;"12629 Berlin";1,65592;13410;26;0,320118197488303
12679;"12679 Berlin";2,292613;25823;63;0,775671016990889
12681;"12681 Berlin";8,935154;17050;42;0,517114011327259
12683;"12683 Berlin Biesdorf";12,678667;24347;31;0,381679389312977
12685;"12685 Berlin";3,464371;18556;46;0,566362964786998
12687;"12687 Berlin";1,6348;17946;54;0,664860871706476
12689;"12689 Berlin";3,044395;22466;20;0,246244767298695
13051;"13051 Berlin Neu-Schönhausen";7,217933;21820;20;0,246244767298695
13053;"13053 Berlin Alt-Hohenschönhausen";6,440372;18450;62;0,763358778625954
13055;"13055 Berlin Alt-Hohenschönhausen";3,218751;27928;65;0,800295493720758
13057;"13057 Berlin Falkenberg";4,71223;16086;14;0,172371337109086
13059;"13059 Berlin Wartenberg";6,379701;14495;22;0,270869244028564
13086;"13086 Berlin Weißensee";3,318098;24062;67;0,824919970450628
13088;"13088 Berlin Weißensee";6,94308;24107;84;1,03422802265452
13089;"13089 Berlin Heinelsdorf";3,891335;6288;1;0,0123122383649347
13125;"13125 Berlin Buch";24,072984;31366;196;2,41319871952721
13127;"13127 Berlin Französisch Buchholz";15,029939;19255;72;0,886481162275302
13129;"13129 Berlin Blankenburg";7,62485;6468;1;0,0123122383649347
13156;"13156 Berlin Niederschönhausen";5,800478;26467;35;0,430928342772716
13158;"13158 Berlin Rosenthal";6,91908;17234;67;0,824919970450628
13187;"13187 Berlin Pankow";3,323738;30078;85;1,04654026101945
13189;"13189 Berlin Pankow";2,497205;26019;65;0,800295493720758
13347;"13347 Berlin Wedding";1,644441;27115;55;0,677173110071411
13349;"13349 Berlin Wedding";1,485892;12330;14;0,172371337109086
13351;"13351 Berlin Wedding";2,61691;14173;21;0,25855700566363
13353;"13353 Berlin Wedding";3,025727;24213;61;0,751046540261019
13355;"13355 Berlin Wedding";1,713835;21464;13;0,160059098744152
13357;"13357 Berlin Gesundbrunnen";1,978265;25833;73;0,898793400640236
13359;"13359 Berlin Gesundbrunnen";1,712814;22161;18;0,221620290568825
13403;"13403 Berlin Reinickendorf";3,564546;26703;13;0,160059098744152
13405;"13405 Berlin Wedding";7,941301;4826;3;0,0369367150948042
13407;"13407 Berlin-West";4,415091;24022;23;0,283181482393499
13409;"13409 Berlin-West";2,615257;26581;34;0,418616104407781
13435;"13435 Berlin Märkisches Viertel";2,059275;17011;13;0,160059098744152
13437;"13437 Berlin Reinickendorf";4,304685;14481;35;0,430928342772716
13439;"13439 Berlin Märkisches Viertel";2,196511;19016;4;0,049248953459739
13465;"13465 Berlin Frohnau";8,040245;16865;10;0,123122383649347
13467;"13467 Berlin Hermsdorf";5,756619;15265;4;0,049248953459739
13469;"13469 Berlin Lübars";7,662454;16124;43;0,529426249692194
13503;"13503 Berlin Tegel";16,805702;17113;36;0,443240581137651
13505;"13505 Berlin Tegel";10,459615;6368;1;0,0123122383649347
13507;"13507 Berlin Tegel";8,845078;22195;28;0,344742674218173
13509;"13509 Berlin Reinickendorf";4,516392;15999;42;0,517114011327259
13581;"13581 Berlin Spandau";3,947018;14355;4;0,049248953459739
13583;"13583 Berlin Spandau";2,356236;20761;31;0,381679389312977
13585;"13585 Berlin Spandau";2,684844;20238;20;0,246244767298695
13587;"13587 Berlin Hakenfelde";17,497615;20108;41;0,504801772962325
13589;"13589 Berlin Falkenhagener Feld";6,910249;21098;15;0,184683575474021
13591;"13591 Berlin Staaken";8,97249;26762;33;0,406303866042847
