"","erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr","total"
"1",32.8099814127508,0,0,48.9842096316259,0,0,2002,81.7941910443767
"2",38.059874695609,0.49549346910797,0,41.9399470950127,0,0,2003,80.4953152597297
"3",31.9157784424479,1.14318799855207,0,50.821524452974,0,0,2004,83.8804908939739
"4",25.4825791742714,1.53245293059645,0.126806707548651,50.799921467367,0,0,2005,77.9417602797835
"5",28.7804912775314,1.49809447251227,0.877397833418977,42.4848552519459,0,0,2006,73.6408388354086
"6",29.0539149154894,1.6338805690289,0.179201475412809,42.607840540332,0,0,2007,73.4748375002631
"7",30.6951289245611,2.67006241120497,0.911954685168576,33.3074777273596,0,0,2008,67.5846237482942
"8",28.2243001288155,2.61915331307879,0.505059345344937,38.8984221312222,0,0,2009,70.2469349184613
"9",21.2919936292528,2.00007313563613,1.64956376129651,42.2073673278514,0.0201381233627114,8.80057796504735,2010,75.9697139424469
"10",21.4298943638951,0.720949245359738,2.3783104792973,44.9398593200245,0.0240287778902932,15.042104821482,2011,84.535147007949
"11",21.5335656150194,1.16384005272145,2.22277279034775,35.6904687977503,0.0682235902759761,12.2012257193531,2012,72.880096565468
"12",26.3076599716633,1.56042220502106,0.536036666237624,41.5679466557773,0,3.93219485088077,2013,73.90426034958
"13",27.9828242229482,0.593736663194562,0,49.890642513627,0,9.17088774900127,2014,87.638091148771
"14",20.5766539549155,0.421469794870961,0,48.6179500515307,0.0295102663671165,2.55797769280702,2015,72.2035617604914
"15",28.8273312545769,0.710745419842406,0,43.0750183838594,0,0,2016,72.6130950582787
"16",32.8896660859105,2.50698518009684,4.26404804954525,26.9286914192248,0,0,2017,66.5893907347775
"17",52.9591107831,0,0,0,0,0,2018,52.9591107831
