"","waermepumpe","erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr"
"1",0,0.467427474733374,0,0,0.532572525266626,0,0,2002
"2",0,0.533124897480441,0.0185388158746808,0,0.448336286644878,0,0,2003
"3",0,0.432732018196397,0.0414012725995177,0,0.525866709204085,0,0,2004
"4",0,0.372246891841139,0.0597939560108516,0.00163492609779576,0.566324226050214,0,0,2005
"5",0,0.436206630455325,0.0606478915372566,0.011737046339624,0.491408431667794,0,0,2006
"6",0,0.439592933727269,0.0660311401017556,0.00239307232993265,0.491982853841043,0,0,2007
"7",0,0.479231225266299,0.111347252254507,0.0125665801799225,0.396854942299271,0,0,2008
"8",0.00148972720992378,0.431240425847604,0.106890633501457,0.00681093754590374,0.453568275895112,0,0,2009
"9",0.00394073180016117,0.330583649757557,0.0829456022420975,0.0222184792514459,0.500112497986027,0.0105786153753073,0.049620423587404,2010
"10",0.00202296244367924,0.324557222041954,0.0291647584909709,0.0312478382011642,0.51941843226534,0.0123125417975151,0.0812762447593758,2011
"11",0,0.356331280709883,0.0514415144026431,0.0319090043399975,0.450717742627322,0.0381959537469254,0.0714045041732292,2012
"12",0,0.412614369083937,0.0650492100585783,0.00735183946357483,0.49324286102907,0,0.0217417203648402,2013
"13",0,0.398226208200979,0.0223467631863367,0,0.532498825921377,0,0.0469282026913071,2014
"14",0.00490563108267506,0.340596787317061,0.0184507793063813,0,0.60356451648217,0.0163637836829233,0.0161185021287895,2015
"15",0,0.457479892261101,0.0298307454623206,0,0.512689362276578,0,0,2016
"16",0,0.518413596735203,0.104508388487112,0.0587363872536893,0.318341627523997,0,0,2017
"17",0,1,0,0,0,0,0,2018
