"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"total"
0,401128503061422;0;0;0,598871496938578;0;0;1
0,472820990548373;0,00615555659989888;0;0,521023452851728;0;0;1
0,383608079571874;0,0137404185050652;0;0,602651501923061;0;0;1
0,328978712325701;0,019783884055048;0,0016370677033248;0,649600335915926;0;0;1
0,392695909395906;0,0204407758565074;0,0119716698639348;0,574891644883652;0;0;1
0,395426732524388;0,0222372804706516;0,00243895027889197;0,579897036726069;0;0;1
0,454173260457572;0,0395069508879579;0,0134935231505464;0,492826265503923;0;0;1
0,400229854876377;0,0371404550549789;0,00716190756081809;0,55159241410577;0;0,00387536840205633;1
0,277714529043403;0,026087240987731;0,0215154969080084;0,550516750273305;0,000262664433536636;0,123903318354017;1
0,252384988263255;0,00849079158948532;0,0280099309969124;0,529267465085867;0,000282992660758954;0,181563831403721;1
0,295465657014818;0,0159692441087255;0,0304990373928915;0,489714894459417;0,000936107298028771;0,167415059726119;1
0,355969464374902;0,0211141035393628;0,00725312267117047;0,562456703566935;0;0,0532066058476304;1
0,3148063295634;0,0066795280625827;0;0,575341800365256;0;0,103172342008761;1
0,3078151259484;0,0112759568016454;0,00114287444701227;0,642724249710578;0,000462095797269475;0,0365796972950949;1
0,430299829834826;0,0188426358799071;0,00175285219844093;0,548926428693332;0,000178253393493464;0;1
0,388581910083643;0,0393483657444877;0,0231875368710885;0,520984916141533;0,000682547003933874;0,0272147241553142;1
1;0;0;0;0;0;1
