"abrechnungsjahr","spez_co2"
2002,44.7307439307755
2003,43.6512077770534
2004,44.9084063087953
2005,41.3642934568544
2006,38.7413648358549
2007,38.2564683384462
2008,35.0755144964866
2009,36.4310623799961
2010,37.748628240528
2011,41.3853337838721
2012,35.3191765551675
2013,35.6078964749637
2014,41.7293003714569
2015,32.4210881372656
2016,31.6677492002626
2017,29.4087490792813
2018,24.19035
