"","abrechnungsjahr","mean_spz_verberauch"
"1",2002,189.094705882353
"2",2003,190.707604166667
"3",2004,194.871151832461
"4",2005,179.101092436975
"5",2006,170.94612244898
"6",2007,169.521255813954
"7",2008,163.75119047619
"8",2009,166.558121212121
"9",2010,156.214868421053
"10",2011,158.534090909091
"11",2012,144.267196261682
"12",2013,152.076933333333
"13",2014,166.407096774194
"14",2015,141.814925373134
"15",2016,146.50075
"16",2017,146.391176470588
"17",2018,120.35
