"abrechnungsjahr","spez_co2"
2002,22.1323087231338
2003,30.277611698504
2004,31.7021135884043
2005,28.5119418616122
2006,24.5725120908282
2007,26.7974379402036
2008,22.4828674860042
2009,19.4188096043313
2010,16.8600839137853
2011,14.4595168613162
2012,13.7648344061294
2013,15.5384385633524
2014,16.4754186818635
2015,13.4039118962646
2016,15.7869324811691
2017,17.1664524470612
2018,22.5808840776891
