Jahr	Erdgas	Waerme	Fluessiggas  Heizoel	Holzpellets	Strom
2002	 203   	 76   	 230   	     266    	     6   	 654   
2003	 203   	 76   	 230   	     266   	     6   	 635   
2004	 203   	 76   	 230   	     266   	     6   	 615   
2005	 203   	 76   	 230   	     266   	     6   	 611   
2006	 203   	 76   	 230   	     266   	     6   	 604   
2007	 203   	 76   	 230   	     266   	     6   	 623   
2008	 203   	 76   	 230   	     266   	     6   	 584   
2009	 203   	 76   	 230   	     266   	     6   	 569   
2010	 203   	 76   	 234   	     266   	     6   	 559   
2011	 203   	 76   	 234   	     266   	     6   	 569   
2012	 203   	 76   	 234   	     266   	     6   	 574   
2013	 202   	 76   	 231   	     267   	     6   	 573   
2014	 201   	 76   	 229   	     268   	     6   	 559   
2015	 201   	 76   	 230   	     268   	     6   	 528   
2016	 201   	 76   	 230   	     268   	     6   	 516   
2017	 201   	 76   	 230   	     268   	     6   	 489   
2018	 201   	 76   	 230   	     268   	     6   	 467   
