"abrechnungsjahr";"gesamtVerbrauch"
2002;145590576,958408
2003;148334037,470627
2004;144988615,832119
2005;142376182,125229
2006;140198217,932264
2007;137142414,781712
2008;136521018,610774
2009;133924007,526809
2010;137006373,874698
2011;129501699,189839
2012;130671585,607558
2013;131539377,855574
2014;121723956,513509
2015;124631141,346471
2016;126819695,452836
2017;128736534,57133
2018;126803571,994994
