"abrechnungsjahr";"mean_spzverbrauch"
2002;143,847642261152
2003;142,277966300312
2004;140,708290339472
2005;139,138614378633
2006;137,568938417793
2007;135,999262456953
2008;134,429586496113
2009;132,859910535274
2010;131,290234574434
2011;129,720558613594
2012;128,150882652754
2013;126,581206691915
2014;125,011530731075
2015;123,441854770235
2016;121,872178809395
2017;120,302502848555
2018;118,732826887716
