"abrechnungsjahr";"mean_spzverbrauch"
2002;171,53799731467
2003;167,130651994401
2004;162,72330667413
2005;158,315961353861
2006;153,90861603359
2007;149,501270713321
2008;145,09392539305
2009;140,686580072779
2010;136,27923475251
2011;131,871889432239
2012;127,46454411197
2013;123,057198791699
2014;118,64985347143
2015;114,242508151159
2016;109,83516283089
2017;105,427817510619
2018;101,02047219035
