"abrechnungsjahr";"mean_spzverbrauch"
2002;155,986651771311
2003;154,03113641414
2004;152,075621056969
2005;150,120105699798
2006;148,164590342627
2007;146,209074985456
2008;144,253559628285
2009;142,298044271113
2010;140,342528913942
2011;138,387013556771
2012;136,4314981996
2013;134,475982842428
2014;132,520467485258
2015;130,564952128086
2016;128,609436770915
2017;126,653921413744
2018;124,698406056573
