"abrechnungsjahr";"mean_spzverbrauch"
2002;141,731700574339
2003;139,194050344191
2004;136,656400114043
2005;134,118749883895
2006;131,581099653748
2007;129,0434494236
2008;126,505799193452
2009;123,968148963304
2010;121,430498733156
2011;118,892848503008
2012;116,35519827286
2013;113,817548042713
2014;111,279897812565
2015;108,742247582417
2016;106,204597352269
2017;103,666947122121
2018;101,129296891973
