"abrechnungsjahr";"gesamtVerbrauch"
2002;1113202637,17939
2003;1232162939,45444
2004;1172916802,61026
2005;1184823553,755
2006;1168191184,00601
2007;1083874835,56452
2008;1132497011,85746
2009;1159126072,87115
2010;1220711196,51929
2011;1145592265,78767
2012;1146330937,59643
2013;1135176097,81797
2014;1041449270,63151
2015;1042627251,07136
2016;1086022625,93882
2017;1125534647,80256
2018;1107456416,41442
