"abrechnungsjahr";"mean_spzverbrauch"
2002;170,172855853452
2003;167,071793110405
2004;164,267702705615
2005;162,576672343387
2006;159,655111977207
2007;156,284619923834
2008;154,353344600554
2009;152,444726378391
2010;151,358948314499
2011;143,59549225073
2012;144,06594778414
2013;145,507304808771
2014;134,105829136475
2015;135,573006799716
2016;138,205206628018
2017;131,260270779755
2018;129,811535878075
