"abrechnungsjahr";"gesamtVerbrauch"
2002;2641110213,86524
2003;2614582006,83519
2004;2591937774,23615
2005;2586275053,18528
2006;2560440656,39929
2007;2526593094,67682
2008;2515327326,11541
2009;2503934313,93107
2010;2505127574,45318
2011;2394410893,06029
2012;2422877915,21607
2013;2466300071,56156
2014;2289622079,09266
2015;2332666714,68178
2016;2396725393,83928
2017;2289427598,09151
2018;2283230282,73935
