"abrechnungsjahr";"totArea"
2002;2580565
2003;2589870
2004;2617947
2005;2630320
2006;2633741
2007;2644747
2008;2659865
2009;2666740
2010;2721233
2011;2733644
2012;2745996
2013;2770454
2014;2793908
2015;2834013
2016;2860302
2017;2873963
2018;2878640
