"abrechnungsjahr";"gesamtVerbrauch"
2002;59350068688,669
2003;61031338814,7514
2004;59342195881,8593
2005;60036223555,9546
2006;59780370567,387
2007;59768889345,1984
2008;59285853723,8612
2009;59076614147,3801
2010;59004648246,7761
2011;58187406720,2291
2012;58501811340,038
2013;58018826897,1351
2014;55233699609,6977
2015;57392136905,8133
2016;57875287234,6429
2017;57163740665,9409
2018;56030471458,1714
