"abrechnungsjahr";"areaSFH";"areaMFH"
2002;335993000;173461000
2003;340120000;175410000
2004;344180000;177421000
2005;348173000;179492000
2006;352098000;181625000
2007;355956000;183819000
2008;359747000;186074000
2009;363471000;188390000
2010;367127000;190767000
2011;370716000;193205000
2012;374238000;195705000
2013;377693000;198265000
2014;381081000;200887000
2015;384401000;203569000
2016;387654000;206313000
2017;390840000;209118000
2018;393959000;211984000
