"abrechnungsjahr";"mean_spzverbrauch"
2002;161,296905589209
2003;162,479814024222
2004;159,777021574476
2005;159,929866623379
2006;156,993919870159
2007;146,899994000327
2008;151,111507569958
2009;154,51072245238
2010;155,797827845289
2011;147,197720438876
2012;147,134212660636
2013;149,659236883113
2014;139,065581672696
2015;134,900139760307
2016;140,47391820581
2017;134,183453841634
2018;136,014294357669
