"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
"12209";"Berlin";1969;"heizoel";2003;180;26379,96;175,87;"Berlin, Stadt";"SFH"
"13593";"Berlin";1968;"heizoel";2004;234;50000,03;256,41;"Berlin, Stadt";"SFH"
"13437";"Berlin";1988;"erdgas";2004;152,4;18360;144,57;"Berlin, Stadt";"SFH"
"13437";"Berlin";1923;"erdgas";2004;156;19989;153,76;"Berlin, Stadt";"SFH"
"12205";"Berlin";1976;"heizoel";2002;180;41000;273,33;"Berlin, Stadt";"SFH"
"14169";"Berlin";1934;"heizoel";2003;144;23999,98;200;"Berlin, Stadt";"SFH"
"13465";"Berlin";1930;"erdgas";2004;126;23058;219,6;"Berlin, Stadt";"SFH"
"14195";"Berlin";1921;"heizoel";2004;276;37500,02;163,04;"Berlin, Stadt";"SFH"
"13469";"Berlin";1979;"heizoel";2003;156;17000,02;130,77;"Berlin, Stadt";"SFH"
"12249";"Berlin";1934;"erdgas";2004;144;29790;248,25;"Berlin, Stadt";"SFH"
"12555";"Berlin";1938;"erdgas";2003;192;34200;213,75;"Berlin, Stadt";"SFH"
"13505";"Berlin";1981;"heizoel";2004;264;45000,04;204,55;"Berlin, Stadt";"SFH"
"12305";"Berlin";1982;"erdgas";2004;192;22019,4;137,62;"Berlin, Stadt";"SFH"
"12347";"Berlin";1985;"erdgas";2002;144;6800;56,67;"Berlin, Stadt";"SFH"
"12524";"Berlin";1936;"erdgas";2004;96,23;15078,6;188,04;"Berlin, Stadt";"SFH"
"13465";"Berlin";1948;"erdgas";2004;144;29475;245,63;"Berlin, Stadt";"SFH"
"14165";"Berlin";1978;"heizoel";2004;115,2;22000;229,17;"Berlin, Stadt";"SFH"
"13469";"Berlin";1925;"heizoel";2004;162;34000,04;251,85;"Berlin, Stadt";"SFH"
"12161";"Berlin";1961;"heizoel";2004;360;45000,04;150;"Berlin, Stadt";"SFH"
"10435";"Berlin";1950;"heizoel";2004;240;50000,03;250;"Berlin, Stadt";"SFH"
"14089";"Berlin";1986;"erdgas";2003;198;25306,2;153,37;"Berlin, Stadt";"SFH"
"12355";"Berlin";1970;"heizoel";2004;168;26000,05;185,71;"Berlin, Stadt";"SFH"
"12621";"Berlin";1987;"heizoel";2003;360;53500;178,33;"Berlin, Stadt";"SFH"
"13467";"Berlin";1979;"heizoel";2004;288;32256;134,4;"Berlin, Stadt";"SFH"
"14055";"Berlin";1950;"heizoel";2003;166,8;39999,96;287,77;"Berlin, Stadt";"SFH"
"13129";"Berlin";2000;"heizoel";2004;240;20000,03;100;"Berlin, Stadt";"SFH"
"12355";"Berlin";1976;"erdgas";2004;144;18090;150,75;"Berlin, Stadt";"SFH"
"13403";"Berlin";1962;"heizoel";2003;120;29500,03;295;"Berlin, Stadt";"SFH"
"13409";"Berlin";1996;"heizoel";2003;170,4;36000,01;253,52;"Berlin, Stadt";"SFH"
"12526";"Berlin";1997;"erdgas";2004;120;15234,3;152,34;"Berlin, Stadt";"SFH"
"12247";"Berlin";1894;"fernwaerme";2004;92,4;15000;194,81;"Berlin, Stadt";"SFH"
"12683";"Berlin";1938;"erdgas";2004;120;23490;234,9;"Berlin, Stadt";"SFH"
"12209";"Berlin";1981;"heizoel";2004;216;34999,98;194,44;"Berlin, Stadt";"SFH"
"13503";"Berlin";1960;"heizoel";2004;168;36000,01;257,14;"Berlin, Stadt";"SFH"
"13439";"Berlin";1985;"heizoel";2004;165,6;20000,03;144,93;"Berlin, Stadt";"SFH"
"13465";"Berlin";1936;"erdgas";2004;288;65187,9;271,62;"Berlin, Stadt";"SFH"
"13469";"Berlin";1979;"heizoel";2004;156;17000,02;130,77;"Berlin, Stadt";"SFH"
"14163";"Berlin";1968;"erdgas";2003;144;27000;225;"Berlin, Stadt";"SFH"
"12249";"Berlin";1936;"erdgas";2004;192;27000;168,75;"Berlin, Stadt";"SFH"
"10789";"Berlin";1856;"erdgas";2003;216;13500;75;"Berlin, Stadt";"SFH"
"12309";"Berlin";1985;"heizoel";2003;126;22000;209,52;"Berlin, Stadt";"SFH"
"13465";"Berlin";1913;"heizoel";2004;420;74000;211,43;"Berlin, Stadt";"SFH"
"12621";"Berlin";2000;"heizoel";2003;180;24110,05;160,73;"Berlin, Stadt";"SFH"
"12305";"Berlin";1973;"heizoel";2003;144;17999,96;150;"Berlin, Stadt";"SFH"
"14163";"Berlin";1932;"heizoel";2004;156;35280;271,38;"Berlin, Stadt";"SFH"
"12621";"Berlin";1998;"erdgas";2003;240;36350,1;181,75;"Berlin, Stadt";"SFH"
"12307";"Berlin";1979;"heizoel";2004;168;17458,56;124,7;"Berlin, Stadt";"SFH"
"12623";"Berlin";1935;"erdgas";2004;140,4;25004,7;213,72;"Berlin, Stadt";"SFH"
"13589";"Berlin";1990;"heizoel";2003;132;17999,96;163,64;"Berlin, Stadt";"SFH"
"12205";"Berlin";1940;"erdgas";2003;180;21810,6;145,4;"Berlin, Stadt";"SFH"
"10318";"Berlin";1932;"erdgas";2003;138;47930,4;416,79;"Berlin, Stadt";"SFH"
"10319";"Berlin";1938;"erdgas";2004;159,6;37800;284,21;"Berlin, Stadt";"SFH"
