"","erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr","total"
"1",27.1194329385728,16.0505944390837,0,13.9438338824571,0,0,2002,57.1138612601136
"2",43.5620801141273,4.902284507552,0,29.9507135879253,0,0,2003,78.4150782096046
"3",36.3442602038002,3.57295512671642,0,43.0772378319057,0,0,2004,82.9944531624223
"4",42.0134237611035,10.3466248792705,0,22.635482277062,0,0,2005,74.9955309174359
"5",38.7241394713529,10.0346400428057,0,15.9588530524515,0,0,2006,64.7176325666101
"6",39.1812683521727,8.59582049488633,0,23.0953547529805,0,0,2007,70.8724436000395
"7",29.4424587603966,12.0925038242513,0,18.2664297410125,0,0,2008,59.8013923256605
"8",19.5045288555559,18.0178648321127,1.62314427293473,12.6393783636511,0,0,2009,51.7849163242544
"9",11.2150367624501,20.6583550722305,0,13.9525053494378,0.0543195448433989,0,2010,45.8802167289618
"10",9.29709906168375,22.5656474507382,1.18848547160582,6.45619647156135,0.0197430552467352,0,2011,39.5271715108359
"11",6.58407048702008,25.3745550036882,0,5.83955472918553,0,0,2012,37.7981802198938
"12",1.55267913344958,27.7683665304572,0,13.7274836076871,0,0,2013,43.0485292715938
"13",3.99171090113918,10.3402167258808,0,31.6988764315879,0,0,2014,46.0308040586078
"14",18.8088596071644,17.6754848703106,0,1.50251608739352,0,0,2015,37.9868605648685
"15",24.919949345608,18.1712946093462,0,2.06415059479862,0,0,2016,45.1553945497528
"16",33.0533024141337,14.123454749655,0,1.88709993712947,0.0248943588419015,0.246997714353181,2017,49.3357491741132
"17",56.9484516464001,8.05378449499899,0,0,0,0,2018,65.002236141399
