"abrechnungsjahr";"gesamtVerbrauch"
2002;19151446,12607
2003;18841624,3338697
2004;18531802,5416694
2005;18221980,749469
2006;17912158,9572688
2007;17602337,1650685
2008;17292515,3728682
2009;16982693,5806679
2010;16672871,7884675
2011;16363049,9962673
2012;16053228,204067
2013;15743406,4118667
2014;15433584,6196663
2015;15123762,8274661
2016;14813941,0352658
2017;14504119,2430655
2018;14194297,4508651
