"abrechnungsjahr";"gesamtVerbrauch"
2002;16450360,2353531
2003;16152640,7528852
2004;15854921,2704173
2005;15557201,7879494
2006;15259482,3054816
2007;14961762,8230137
2008;14664043,3405458
2009;14366323,8580779
2010;14068604,37561
2011;13770884,8931421
2012;13473165,4106742
2013;13175445,9282063
2014;12877726,4457384
2015;12580006,9632705
2016;12282287,4808027
2017;11984567,9983348
2018;11686848,5158669
