"abrechnungsjahr";"gesamtVerbrauch"
2002;12178417,0466048
2003;12037040,9171265
2004;11895664,7876482
2005;11754288,6581699
2006;11612912,5286916
2007;11471536,3992133
2008;11330160,269735
2009;11188784,1402567
2010;11047408,0107784
2011;10906031,8813001
2012;10764655,7518218
2013;10623279,6223435
2014;10481903,4928651
2015;10340527,3633869
2016;10199151,2339085
2017;10057775,1044303
2018;9916398,97495192
