"abrechnungsjahr";"gesamtVerbrauch"
2002;132991,987533732
2003;131506,245334142
2004;130020,503134552
2005;128534,760934961
2006;127049,018735372
2007;125563,276535782
2008;124077,534336191
2009;122591,792136601
2010;121106,049937011
2011;119620,307737421
2012;118134,56553783
2013;116648,82333824
2014;115163,08113865
2015;113677,33893906
2016;112191,59673947
2017;110705,85453988
2018;109220,11234029
