"abrechnungsjahr";"gesamtVerbrauch"
2002;9513684,84302744
2003;9436631,03335145
2004;9359577,22367546
2005;9282523,41399944
2006;9205469,60432345
2007;9128415,79464746
2008;9051361,98497143
2009;8974308,17529544
2010;8897254,36561945
2011;8820200,55594343
2012;8743146,74626744
2013;8666092,93659145
2014;8589039,12691545
2015;8511985,31723943
2016;8434931,50756344
2017;8357877,69788745
2018;8280823,88821143
