"abrechnungsjahr";"gesamtVerbrauch"
2002;2716763,56075999
2003;2692949,71733464
2004;2669135,87390929
2005;2645322,03048393
2006;2621508,18705858
2007;2597694,34363323
2008;2573880,50020787
2009;2550066,65678252
2010;2526252,81335716
2011;2502438,96993181
2012;2478625,12650646
2013;2454811,2830811
2014;2430997,43965574
2015;2407183,5962304
2016;2383369,75280504
2017;2359555,90937968
2018;2335742,06595433
