"abrechnungsjahr";"gesamtVerbrauch"
2002;8653905,74931803
2003;8568791,14449003
2004;8483676,539662
2005;8398561,934834
2006;8313447,330006
2007;8228332,72517797
2008;8143218,12034997
2009;8058103,51552197
2010;7972988,91069394
2011;7887874,30586594
2012;7802759,70103794
2013;7717645,09620991
2014;7632530,49138191
2015;7547415,88655391
2016;7462301,28172588
2017;7377186,67689788
2018;7292072,07206988
