"abrechnungsjahr";"gesamtVerbrauch"
2002;3174828,02148864
2003;3192393,46393798
2004;3209958,90638732
2005;3227524,34883666
2006;3245089,79128599
2007;3262655,23373533
2008;3280220,67618467
2009;3297786,11863401
2010;3315351,56108335
2011;3332917,00353268
2012;3350482,44598202
2013;3368047,88843136
2014;3385613,33088069
2015;3403178,77333003
2016;3420744,21577936
2017;3438309,6582287
2018;3455875,10067804
