"abrechnungsjahr";"gesamtVerbrauch"
2002;5779850,8059523
2003;5734797,06567176
2004;5689743,32539123
2005;5644689,58511069
2006;5599635,84483017
2007;5554582,10454965
2008;5509528,36426911
2009;5464474,62398858
2010;5419420,88370804
2011;5374367,14342752
2012;5329313,40314698
2013;5284259,66286646
2014;5239205,92258592
2015;5194152,1823054
2016;5149098,44202486
2017;5104044,70174433
2018;5058990,96146381
