"abrechnungsjahr";"gesamtVerbrauch"
2002;795233,362032525
2003;812496,288177207
2004;829759,214321889
2005;847022,140466571
2006;864285,066611253
2007;881547,992755942
2008;898810,918900624
2009;916073,845045306
2010;933336,771189988
2011;950599,69733467
2012;967862,623479351
2013;985125,549624033
2014;1002388,47576872
2015;1019651,4019134
2016;1036914,32805809
2017;1054177,25420277
2018;1071440,18034745
