"abrechnungsjahr";"gesamtVerbrauch"
2002;13659598,5460394
2003;13616540,911183
2004;13573483,2763266
2005;13530425,6414702
2006;13487368,0066137
2007;13444310,3717573
2008;13401252,7369009
2009;13358195,1020445
2010;13315137,467188
2011;13272079,8323316
2012;13229022,1974752
2013;13185964,5626188
2014;13142906,9277623
2015;13099849,2929059
2016;13056791,6580495
2017;13013734,0231931
2018;12970676,3883366
