"abrechnungsjahr";"gesamtVerbrauch"
2002;2750034,11661108
2003;2741870,15051135
2004;2733706,18441163
2005;2725542,21831191
2006;2717378,25221219
2007;2709214,28611247
2008;2701050,32001275
2009;2692886,35391303
2010;2684722,38781331
2011;2676558,42171358
2012;2668394,45561386
2013;2660230,48951414
2014;2652066,52341442
2015;2643902,5573147
2016;2635738,59121498
2017;2627574,62511525
2018;2619410,65901553
