"abrechnungsjahr";"gesamtVerbrauch"
2002;7413327,07605164
2003;7396043,50387398
2004;7378759,93169633
2005;7361476,35951867
2006;7344192,78734101
2007;7326909,21516335
2008;7309625,64298569
2009;7292342,07080804
2010;7275058,49863037
2011;7257774,92645272
2012;7240491,35427506
2013;7223207,78209741
2014;7205924,20991974
2015;7188640,63774209
2016;7171357,06556443
2017;7154073,49338678
2018;7136789,92120911
