"abrechnungsjahr";"gesamtVerbrauch"
2002;11847769,3176062
2003;11742692,2242853
2004;11637615,1309645
2005;11532538,0376437
2006;11427460,9443229
2007;11322383,8510021
2008;11217306,7576813
2009;11112229,6643605
2010;11007152,5710397
2011;10902075,4777189
2012;10796998,3843981
2013;10691921,2910773
2014;10586844,1977565
2015;10481767,1044357
2016;10376690,0111149
2017;10271612,9177941
2018;10166535,8244733
