"abrechnungsjahr";"gesamtVerbrauch"
2002;1274152,30978017
2003;1255633,72885769
2004;1237115,1479352
2005;1218596,56701272
2006;1200077,98609024
2007;1181559,40516775
2008;1163040,82424526
2009;1144522,24332277
2010;1126003,66240029
2011;1107485,08147781
2012;1088966,50055532
2013;1070447,91963284
2014;1051929,33871035
2015;1033410,75778787
2016;1014892,17686538
2017;996373,595942892
2018;977855,015020408
