"abrechnungsjahr";"gesamtVerbrauch"
2002;13811476,4655337
2003;13714118,4714591
2004;13616760,4773844
2005;13519402,4833097
2006;13422044,4892351
2007;13324686,4951604
2008;13227328,5010858
2009;13129970,5070111
2010;13032612,5129365
2011;12935254,5188618
2012;12837896,5247872
2013;12740538,5307125
2014;12643180,5366379
2015;12545822,5425632
2016;12448464,5484886
2017;12351106,5544139
2018;12253748,5603393
