plz;ort;bundesland;FW ja/nein?
6385;Aken (Elbe);Sachsen-Anhalt;fernwaerme
6386;Aken (Elbe);Sachsen-Anhalt;keine fernwaerme
39615;Aland;Sachsen-Anhalt;fernwaerme
83544;Albaching;Bayern;keine fernwaerme
79774;Albbruck;Baden-Württemberg;fernwaerme
25767;Albersdorf;Schleswig-Holstein;fernwaerme
7646;Albersdorf;Thüringen;fernwaerme
73095;Albershausen;Baden-Württemberg;keine fernwaerme
76857;Albersweiler;Rheinland-Pfalz;keine fernwaerme
97320;Albertshofen;Bayern;keine fernwaerme
66871;Albessen;Rheinland-Pfalz;keine fernwaerme
55234;Albig;Rheinland-Pfalz;keine fernwaerme
67308;Albisheim (Pfrimm);Rheinland-Pfalz;keine fernwaerme
23909;Albsfelde;Schleswig-Holstein;fernwaerme
72458;Albstadt;Baden-Württemberg;fernwaerme
72459;Albstadt;Baden-Württemberg;keine fernwaerme
72461;Albstadt;Baden-Württemberg;keine fernwaerme
52457;Aldenhoven;Nordrhein-Westfalen;fernwaerme
94501;Aldersbach;Bayern;keine fernwaerme
78554;Aldingen;Baden-Württemberg;keine fernwaerme
86733;Alerheim;Bayern;keine fernwaerme
91793;Alesheim;Bayern;keine fernwaerme
86480;Aletshausen;Bayern;keine fernwaerme
56859;Alf;Rheinland-Pfalz;keine fernwaerme
73553;Alfdorf;Baden-Württemberg;keine fernwaerme
73655;Alfdorf;Baden-Württemberg;keine fernwaerme
91236;Alfeld;Bayern;keine fernwaerme
31061;Alfeld (Leine);Niedersachsen;keine fernwaerme
49594;Alfhausen;Niedersachsen;keine fernwaerme
56828;Alflen;Rheinland-Pfalz;keine fernwaerme
27432;Alfstedt;Niedersachsen;keine fernwaerme
53347;Alfter;Nordrhein-Westfalen;fernwaerme
31191;Algermissen;Niedersachsen;keine fernwaerme
36211;Alheim;Hessen;keine fernwaerme
56332;Alken;Rheinland-Pfalz;keine fernwaerme
99310;Alkersleben;Thüringen;fernwaerme
25938;Alkersum;Schleswig-Holstein;fernwaerme
55758;Allenbach;Rheinland-Pfalz;keine fernwaerme
35108;Allendorf;Hessen;keine fernwaerme
56370;Allendorf;Rheinland-Pfalz;keine fernwaerme
7426;Allendorf;Thüringen;keine fernwaerme
35469;Allendorf (Lumda);Hessen;keine fernwaerme
55595;Allenfeld;Rheinland-Pfalz;fernwaerme
78476;Allensbach;Baden-Württemberg;keine fernwaerme
90584;Allersberg;Bayern;keine fernwaerme
85391;Allershausen;Bayern;fernwaerme
88422;Alleshausen;Baden-Württemberg;keine fernwaerme
82239;Alling;Bayern;keine fernwaerme
86695;Allmannshofen;Bayern;keine fernwaerme
88348;Allmannsweiler;Baden-Württemberg;keine fernwaerme
89604;Allmendingen;Baden-Württemberg;keine fernwaerme
71573;Allmersbach im Tal;Baden-Württemberg;keine fernwaerme
6542;Allstedt;Sachsen-Anhalt;fernwaerme
25821;Almdorf;Schleswig-Holstein;fernwaerme
57610;Almersbach;Rheinland-Pfalz;keine fernwaerme
46519;Alpen;Nordrhein-Westfalen;keine fernwaerme
57642;Alpenrod;Rheinland-Pfalz;keine fernwaerme
57647;Alpenrod;Rheinland-Pfalz;keine fernwaerme
99195;Alperstedt;Thüringen;fernwaerme
72275;Alpirsbach;Baden-Württemberg;keine fernwaerme
56237;Alsbach;Rheinland-Pfalz;keine fernwaerme
64665;Alsbach-Hähnlein;Hessen;keine fernwaerme
52477;Alsdorf;Nordrhein-Westfalen;fernwaerme
57518;Alsdorf;Rheinland-Pfalz;fernwaerme
54668;Alsdorf;Rheinland-Pfalz;keine fernwaerme
67821;Alsenz;Rheinland-Pfalz;keine fernwaerme
36304;Alsfeld;Hessen;keine fernwaerme
67577;Alsheim;Rheinland-Pfalz;keine fernwaerme
6425;Alsleben;Sachsen-Anhalt;keine fernwaerme
73776;Altbach;Baden-Württemberg;fernwaerme
24848;Alt Bennebek;Schleswig-Holstein;keine fernwaerme
18233;Alt Bukow;Mecklenburg-Vorpommern;fernwaerme
3229;Altdöbern;Brandenburg;keine fernwaerme
84032;Altdorf;Bayern;keine fernwaerme
71155;Altdorf;Baden-Württemberg;keine fernwaerme
72655;Altdorf;Baden-Württemberg;keine fernwaerme
67482;Altdorf;Rheinland-Pfalz;keine fernwaerme
90518;Altdorf bei Nürnberg;Bayern;fernwaerme
24782;Alt Duvenstedt;Schleswig-Holstein;fernwaerme
24791;Alt Duvenstedt;Schleswig-Holstein;keine fernwaerme
24811;Alt Duvenstedt;Schleswig-Holstein;keine fernwaerme
18573;Altefähr;Mecklenburg-Vorpommern;fernwaerme
93087;Alteglofsheim;Bayern;keine fernwaerme
58762;Altena;Nordrhein-Westfalen;keine fernwaerme
53505;Altenahr;Rheinland-Pfalz;keine fernwaerme
55585;Altenbamberg;Rheinland-Pfalz;keine fernwaerme
33184;Altenbeken;Nordrhein-Westfalen;keine fernwaerme
1773;Altenberg;Sachsen;fernwaerme
1778;Altenberg;Sachsen;keine fernwaerme
7768;Altenberga;Thüringen;fernwaerme
48341;Altenberge;Nordrhein-Westfalen;keine fernwaerme
7338;Altenbeuthen;Thüringen;fernwaerme
97901;Altenbuch;Bayern;keine fernwaerme
4600;Altenburg;Thüringen;fernwaerme
65624;Altendiez;Rheinland-Pfalz;keine fernwaerme
92540;Altendorf;Bayern;keine fernwaerme
96146;Altendorf;Bayern;keine fernwaerme
98701;Altenfeld;Thüringen;keine fernwaerme
66885;Altenglan;Rheinland-Pfalz;keine fernwaerme
99991;Altengottern;Thüringen;fernwaerme
17091;Altenhagen;Mecklenburg-Vorpommern;keine fernwaerme
39343;Altenhausen;Sachsen-Anhalt;keine fernwaerme
24340;Altenhof;Schleswig-Holstein;fernwaerme
17209;Altenhof;Mecklenburg-Vorpommern;keine fernwaerme
24161;Altenholz;Schleswig-Holstein;fernwaerme
66903;Altenkirchen;Rheinland-Pfalz;keine fernwaerme
18556;Altenkirchen;Mecklenburg-Vorpommern;fernwaerme
57610;Altenkirchen (Westerwald);Rheinland-Pfalz;keine fernwaerme
23730;Altenkrempe;Schleswig-Holstein;fernwaerme
96264;Altenkunstadt;Bayern;keine fernwaerme
83352;Altenmarkt an der Alz;Bayern;keine fernwaerme
29575;Altenmedingen;Niedersachsen;keine fernwaerme
25335;Altenmoor;Schleswig-Holstein;fernwaerme
86450;Altenmünster;Bayern;keine fernwaerme
18445;Altenpleen;Mecklenburg-Vorpommern;keine fernwaerme
72657;Altenriet;Baden-Württemberg;keine fernwaerme
63674;Altenstadt;Hessen;fernwaerme
86972;Altenstadt;Bayern;keine fernwaerme
89281;Altenstadt;Bayern;keine fernwaerme
92665;Altenstadt an der Waldnaab;Bayern;keine fernwaerme
72213;Altensteig;Baden-Württemberg;fernwaerme
93177;Altenthann;Bayern;keine fernwaerme
17087;Altentreptow;Mecklenburg-Vorpommern;fernwaerme
56288;Alterkülz;Rheinland-Pfalz;keine fernwaerme
98587;Altersbach;Thüringen;keine fernwaerme
97237;Altertheim;Bayern;keine fernwaerme
84169;Altfraunhofen;Bayern;keine fernwaerme
82278;Althegnenberg;Bayern;keine fernwaerme
88499;Altheim;Baden-Württemberg;keine fernwaerme
89605;Altheim;Baden-Württemberg;keine fernwaerme
89174;Altheim (Alb);Baden-Württemberg;keine fernwaerme
75382;Althengstett;Baden-Württemberg;fernwaerme
66484;Althornbach;Rheinland-Pfalz;keine fernwaerme
71566;Althütte;Baden-Württemberg;keine fernwaerme
16247;Althüttendorf;Brandenburg;fernwaerme
17179;Altkalen;Mecklenburg-Vorpommern;fernwaerme
4626;Altkirchen;Thüringen;fernwaerme
19288;Alt Krenzlin;Mecklenburg-Vorpommern;fernwaerme
15345;Altlandsberg;Brandenburg;fernwaerme
56858;Altlay;Rheinland-Pfalz;keine fernwaerme
67316;Altleiningen;Rheinland-Pfalz;keine fernwaerme
67317;Altleiningen;Rheinland-Pfalz;keine fernwaerme
68804;Altlußheim;Baden-Württemberg;keine fernwaerme
93336;Altmannstein;Bayern;keine fernwaerme
39606;Altmärkische Höhe;Sachsen-Anhalt;fernwaerme
39615;Altmärkische Höhe;Sachsen-Anhalt;fernwaerme
39615;Altmärkische Wische;Sachsen-Anhalt;fernwaerme
19069;Alt Meteln;Mecklenburg-Vorpommern;fernwaerme
9648;Altmittweida;Sachsen;fernwaerme
23881;Alt Mölln;Schleswig-Holstein;keine fernwaerme
85250;Altomünster;Bayern;fernwaerme
84503;Altötting;Bayern;keine fernwaerme
54518;Altrich;Rheinland-Pfalz;keine fernwaerme
67122;Altrip;Rheinland-Pfalz;keine fernwaerme
54636;Altscheid;Rheinland-Pfalz;fernwaerme
17214;Alt Schwerin;Mecklenburg-Vorpommern;keine fernwaerme
