plz;ort;bundesland;FW ja/nein?
54647;Gondorf;Rheinland-Pfalz;keine fernwaerme
24610;Gönnebek;Schleswig-Holstein;fernwaerme
53498;Gönnersdorf;Rheinland-Pfalz;keine fernwaerme
54584;Gönnersdorf;Rheinland-Pfalz;fernwaerme
67161;Gönnheim;Rheinland-Pfalz;keine fernwaerme
24340;Goosefeld;Schleswig-Holstein;fernwaerme
4618;Göpfersdorf;Thüringen;keine fernwaerme
73033;Göppingen;Baden-Württemberg;fernwaerme
73035;Göppingen;Baden-Württemberg;keine fernwaerme
73037;Göppingen;Baden-Württemberg;fernwaerme
73116;Göppingen;Baden-Württemberg;keine fernwaerme
3238;Gorden-Staupitz;Brandenburg;fernwaerme
56412;Görgeshausen;Rheinland-Pfalz;fernwaerme
87657;Görisried;Bayern;keine fernwaerme
17291;Göritz;Brandenburg;fernwaerme
7907;Görkwitz;Thüringen;keine fernwaerme
29475;Gorleben;Niedersachsen;keine fernwaerme
2826;Görlitz;Sachsen;fernwaerme
2827;Görlitz;Sachsen;fernwaerme
2828;Görlitz;Sachsen;fernwaerme
19294;Gorlosen;Mecklenburg-Vorpommern;keine fernwaerme
17121;Görmin;Mecklenburg-Vorpommern;keine fernwaerme
9405;Gornau/Erzgebirge;Sachsen;fernwaerme
9437;Gornau/Erzgebirge;Sachsen;keine fernwaerme
9573;Gornau/Erzgebirge;Sachsen;keine fernwaerme
54472;Gornhausen;Rheinland-Pfalz;keine fernwaerme
9390;Gornsdorf;Sachsen;keine fernwaerme
99765;Görsbach;Thüringen;keine fernwaerme
6577;Gorsleben;Thüringen;keine fernwaerme
79733;Görwihl;Baden-Württemberg;keine fernwaerme
69517;Gorxheimertal;Hessen;fernwaerme
14828;Görzke;Brandenburg;fernwaerme
7907;Göschitz;Thüringen;keine fernwaerme
6667;Goseck;Sachsen-Anhalt;fernwaerme
7607;Gösen;Thüringen;fernwaerme
15537;Gosen-Neu Zittau;Brandenburg;fernwaerme
55624;Gösenroth;Rheinland-Pfalz;keine fernwaerme
78559;Gosheim;Baden-Württemberg;keine fernwaerme
38640;Goslar;Niedersachsen;fernwaerme
38642;Goslar;Niedersachsen;keine fernwaerme
38644;Goslar;Niedersachsen;fernwaerme
38690;Goslar;Niedersachsen;keine fernwaerme
99338;Gossel;Thüringen;keine fernwaerme
97780;Gössenheim;Bayern;keine fernwaerme
76857;Gossersweiler-Stein;Rheinland-Pfalz;keine fernwaerme
7389;Gössitz;Thüringen;keine fernwaerme
4639;Gößnitz;Thüringen;keine fernwaerme
91327;Gößweinstein;Bayern;keine fernwaerme
99867;Gotha;Thüringen;fernwaerme
79288;Gottenheim;Baden-Württemberg;keine fernwaerme
19209;Gottesgabe;Mecklenburg-Vorpommern;keine fernwaerme
94239;Gotteszell;Bayern;keine fernwaerme
84177;Gottfrieding;Bayern;keine fernwaerme
17207;Gotthun;Mecklenburg-Vorpommern;fernwaerme
21514;Göttin;Schleswig-Holstein;keine fernwaerme
37073;Göttingen;Niedersachsen;fernwaerme
37075;Göttingen;Niedersachsen;keine fernwaerme
37077;Göttingen;Niedersachsen;keine fernwaerme
37079;Göttingen;Niedersachsen;fernwaerme
37081;Göttingen;Niedersachsen;fernwaerme
37083;Göttingen;Niedersachsen;fernwaerme
37085;Göttingen;Niedersachsen;fernwaerme
78244;Gottmadingen;Baden-Württemberg;fernwaerme
54470;Graach an der Mosel;Rheinland-Pfalz;keine fernwaerme
18181;Graal-Müritz;Mecklenburg-Vorpommern;fernwaerme
23845;Grabau;Schleswig-Holstein;fernwaerme
21493;Grabau;Schleswig-Holstein;fernwaerme
86836;Graben;Bayern;keine fernwaerme
14793;Gräben;Brandenburg;keine fernwaerme
76676;Graben-Neudorf;Baden-Württemberg;keine fernwaerme
83355;Grabenstätt;Bayern;keine fernwaerme
72582;Grabenstetten;Baden-Württemberg;keine fernwaerme
98617;Grabfeld;Thüringen;fernwaerme
98631;Grabfeld;Thüringen;keine fernwaerme
19300;Grabow;Mecklenburg-Vorpommern;fernwaerme
17209;Grabow-Below;Mecklenburg-Vorpommern;keine fernwaerme
17194;Grabowhöfe;Mecklenburg-Vorpommern;keine fernwaerme
82166;Gräfelfing;Bayern;fernwaerme
71120;Grafenau;Baden-Württemberg;keine fernwaerme
94481;Grafenau;Bayern;keine fernwaerme
72661;Grafenberg;Baden-Württemberg;keine fernwaerme
91322;Gräfenberg;Bayern;fernwaerme
54426;Gräfendhron;Rheinland-Pfalz;keine fernwaerme
97782;Gräfendorf;Bayern;keine fernwaerme
95356;Grafengehaig;Bayern;keine fernwaerme
99887;Gräfenhain;Thüringen;keine fernwaerme
6772;Gräfenhainichen;Sachsen-Anhalt;keine fernwaerme
6773;Gräfenhainichen;Sachsen-Anhalt;keine fernwaerme
79865;Grafenhausen;Baden-Württemberg;fernwaerme
97506;Grafenrheinfeld;Bayern;keine fernwaerme
99330;Gräfenroda;Thüringen;keine fernwaerme
98743;Gräfenthal;Thüringen;keine fernwaerme
93479;Grafenwiesen;Bayern;keine fernwaerme
92655;Grafenwöhr;Bayern;keine fernwaerme
38462;Grafhorst;Niedersachsen;keine fernwaerme
85567;Grafing;Bayern;fernwaerme
94539;Grafling;Bayern;keine fernwaerme
82284;Grafrath;Bayern;keine fernwaerme
53501;Grafschaft;Rheinland-Pfalz;keine fernwaerme
82491;Grainau;Bayern;keine fernwaerme
94143;Grainet;Bayern;keine fernwaerme
7616;Graitschen bei Bürgel;Thüringen;keine fernwaerme
23883;Grambek;Schleswig-Holstein;keine fernwaerme
17375;Grambin;Mecklenburg-Vorpommern;keine fernwaerme
17322;Grambow;Mecklenburg-Vorpommern;keine fernwaerme
19071;Grambow;Mecklenburg-Vorpommern;keine fernwaerme
19073;Grambow;Mecklenburg-Vorpommern;keine fernwaerme
18513;Grammendorf;Mecklenburg-Vorpommern;keine fernwaerme
17153;Grammentin;Mecklenburg-Vorpommern;fernwaerme
18195;Grammow;Mecklenburg-Vorpommern;keine fernwaerme
17291;Gramzow;Brandenburg;fernwaerme
22946;Grande;Schleswig-Holstein;fernwaerme
54533;Gransdorf;Rheinland-Pfalz;keine fernwaerme
18513;Gransebieth;Mecklenburg-Vorpommern;keine fernwaerme
16775;Gransee;Brandenburg;fernwaerme
19386;Granzin;Mecklenburg-Vorpommern;keine fernwaerme
17089;Grapzow;Mecklenburg-Vorpommern;keine fernwaerme
28879;Grasberg;Niedersachsen;keine fernwaerme
85630;Grasbrunn;Bayern;keine fernwaerme
64689;Grasellenbach;Hessen;keine fernwaerme
38368;Grasleben;Niedersachsen;keine fernwaerme
83224;Grassau;Bayern;keine fernwaerme
94541;Grattersdorf;Bayern;keine fernwaerme
24594;Grauel;Schleswig-Holstein;fernwaerme
61279;Grävenwiesbach;Hessen;keine fernwaerme
36323;Grebenau;Hessen;keine fernwaerme
36355;Grebenhain;Hessen;keine fernwaerme
34393;Grebenstein;Hessen;keine fernwaerme
24329;Grebin;Schleswig-Holstein;keine fernwaerme
19294;Grebs-Niendorf;Mecklenburg-Vorpommern;keine fernwaerme
91171;Greding;Bayern;keine fernwaerme
47929;Grefrath;Nordrhein-Westfalen;keine fernwaerme
86926;Greifenberg;Bayern;keine fernwaerme
35753;Greifenstein;Hessen;keine fernwaerme
17489;Greifswald;Mecklenburg-Vorpommern;fernwaerme
17491;Greifswald;Mecklenburg-Vorpommern;fernwaerme
17493;Greifswald;Mecklenburg-Vorpommern;fernwaerme
83677;Greiling;Bayern;keine fernwaerme
54314;Greimerath;Rheinland-Pfalz;keine fernwaerme
54533;Greimerath;Rheinland-Pfalz;keine fernwaerme
56814;Greimersburg;Rheinland-Pfalz;keine fernwaerme
7973;Greiz;Thüringen;fernwaerme
23758;Gremersdorf;Schleswig-Holstein;fernwaerme
18461;Gremersdorf-Buchholz;Mecklenburg-Vorpommern;keine fernwaerme
91350;Gremsdorf;Bayern;keine fernwaerme
56858;Grenderich;Rheinland-Pfalz;keine fernwaerme
79639;Grenzach-Wyhlen;Baden-Württemberg;fernwaerme
19258;Gresse;Mecklenburg-Vorpommern;fernwaerme
29690;Grethem;Niedersachsen;keine fernwaerme
97508;Grettstadt;Bayern;keine fernwaerme
99718;Greußen;Thüringen;keine fernwaerme
97259;Greußenheim;Bayern;fernwaerme
48268;Greven;Nordrhein-Westfalen;fernwaerme
19258;Greven;Mecklenburg-Vorpommern;fernwaerme
41515;Grevenbroich;Nordrhein-Westfalen;fernwaerme
41516;Grevenbroich;Nordrhein-Westfalen;keine fernwaerme
41517;Grevenbroich;Nordrhein-Westfalen;fernwaerme
25361;Grevenkop;Schleswig-Holstein;keine fernwaerme
24241;Grevenkrug;Schleswig-Holstein;keine fernwaerme
23936;Grevesmühlen;Mecklenburg-Vorpommern;fernwaerme
25596;Gribbohm;Schleswig-Holstein;keine fernwaerme
17506;Gribow;Mecklenburg-Vorpommern;fernwaerme
55608;Griebelschied;Rheinland-Pfalz;keine fernwaerme
23936;Grieben;Mecklenburg-Vorpommern;fernwaerme
99638;Griefstedt;Thüringen;fernwaerme
66903;Gries;Rheinland-Pfalz;keine fernwaerme
64347;Griesheim;Hessen;fernwaerme
89608;Griesingen;Baden-Württemberg;keine fernwaerme
83556;Griesstätt;Bayern;keine fernwaerme
54413;Grimburg;Rheinland-Pfalz;keine fernwaerme
4668;Grimma;Sachsen;fernwaerme
98660;Grimmelshausen;Thüringen;keine fernwaerme
18507;Grimmen;Mecklenburg-Vorpommern;fernwaerme
23847;Grinau;Schleswig-Holstein;keine fernwaerme
17089;Grischow;Mecklenburg-Vorpommern;keine fernwaerme
7389;Grobengereuth;Thüringen;keine fernwaerme
82194;Gröbenzell;Bayern;keine fernwaerme
25869;Gröde;Schleswig-Holstein;keine fernwaerme
4932;Gröden;Brandenburg;fernwaerme
24376;Grödersby;Schleswig-Holstein;fernwaerme
24399;Grödersby;Schleswig-Holstein;keine fernwaerme
1609;Gröditz;Sachsen;fernwaerme
4539;Groitzsch;Sachsen;keine fernwaerme
55459;Grolsheim;Rheinland-Pfalz;keine fernwaerme
72294;Grömbach;Baden-Württemberg;keine fernwaerme
72297;Grömbach;Baden-Württemberg;keine fernwaerme
23743;Grömitz;Schleswig-Holstein;fernwaerme
48599;Gronau;Nordrhein-Westfalen;fernwaerme
31028;Gronau;Niedersachsen;keine fernwaerme
39397;Gröningen;Sachsen-Anhalt;keine fernwaerme
22956;Grönwohld;Schleswig-Holstein;fernwaerme
86845;Großaitingen;Bayern;fernwaerme
37247;Großalmerode;Hessen;keine fernwaerme
97633;Großbardorf;Bayern;keine fernwaerme
24245;Großbarkau;Schleswig-Holstein;keine fernwaerme
37359;Großbartloff;Thüringen;keine fernwaerme
14979;Großbeeren;Brandenburg;fernwaerme
49777;Groß Berßen;Niedersachsen;keine fernwaerme
72663;Großbettlingen;Baden-Württemberg;keine fernwaerme
64395;Groß-Bieberau;Hessen;keine fernwaerme
64401;Groß-Bieberau;Hessen;keine fernwaerme
7646;Großbockedra;Thüringen;fernwaerme
23847;Groß Boden;Schleswig-Holstein;keine fernwaerme
71723;Großbottwar;Baden-Württemberg;keine fernwaerme
98701;Großbreitenbach;Thüringen;keine fernwaerme
99610;Großbrembach;Thüringen;fernwaerme
24582;Groß Buchwald;Schleswig-Holstein;fernwaerme
66501;Großbundenbach;Rheinland-Pfalz;keine fernwaerme
16845;Großderschau;Brandenburg;fernwaerme
23911;Groß Disnack;Schleswig-Holstein;keine fernwaerme
2953;Groß Düben - D??win;Sachsen;keine fernwaerme
2959;Groß Düben - D??win;Sachsen;keine fernwaerme
2694;Großdubrau - Wulka Dubrawa;Sachsen;keine fernwaerme
26629;Großefehn;Niedersachsen;keine fernwaerme
97633;Großeibstadt;Bayern;keine fernwaerme
72415;Grosselfingen;Baden-Württemberg;keine fernwaerme
24623;Großenaspe;Schleswig-Holstein;keine fernwaerme
23775;Großenbrode;Schleswig-Holstein;keine fernwaerme
99718;Großenehrich;Thüringen;keine fernwaerme
99991;Großengottern;Thüringen;fernwaerme
1558;Großenhain;Sachsen;fernwaerme
1561;Großenhain;Sachsen;keine fernwaerme
26197;Großenkneten;Niedersachsen;keine fernwaerme
36137;Großenlüder;Hessen;keine fernwaerme
25712;Großenrade;Schleswig-Holstein;keine fernwaerme
22946;Großensee;Schleswig-Holstein;fernwaerme
99837;Großensee;Thüringen;keine fernwaerme
91091;Großenseebach;Bayern;keine fernwaerme
7580;Großenstein;Thüringen;keine fernwaerme
24969;Großenwiehe;Schleswig-Holstein;keine fernwaerme
21712;Großenwörden;Niedersachsen;keine fernwaerme
71577;Großerlach;Baden-Württemberg;keine fernwaerme
7768;Großeutersdorf;Thüringen;fernwaerme
99100;Großfahner;Thüringen;fernwaerme
67483;Großfischlingen;Rheinland-Pfalz;keine fernwaerme
64521;Groß-Gerau;Hessen;fernwaerme
19372;Groß Godems;Mecklenburg-Vorpommern;keine fernwaerme
23627;Groß Grönau;Schleswig-Holstein;keine fernwaerme
90613;Großhabersdorf;Bayern;keine fernwaerme
22927;Großhansdorf;Schleswig-Holstein;keine fernwaerme
24625;Großharrie;Schleswig-Holstein;keine fernwaerme
1909;Großharthau;Sachsen;keine fernwaerme
9618;Großhartmannsdorf;Sachsen;fernwaerme
26532;Großheide;Niedersachsen;keine fernwaerme
96269;Großheirath;Bayern;keine fernwaerme
99518;Großheringen;Thüringen;keine fernwaerme
63920;Großheubach;Bayern;keine fernwaerme
56412;Großholbach;Rheinland-Pfalz;fernwaerme
27243;Groß Ippener;Niedersachsen;keine fernwaerme
54619;Großkampenberg;Rheinland-Pfalz;keine fernwaerme
67229;Großkarlbach;Rheinland-Pfalz;keine fernwaerme
83109;Großkarolinenfeld;Bayern;keine fernwaerme
17207;Groß Kelle;Mecklenburg-Vorpommern;fernwaerme
17495;Groß Kiesow;Mecklenburg-Vorpommern;keine fernwaerme
1990;Großkmehlen;Brandenburg;keine fernwaerme
18442;Groß Kordshagen;Mecklenburg-Vorpommern;keine fernwaerme
15746;Groß Köris;Brandenburg;keine fernwaerme
19230;Groß Krams;Mecklenburg-Vorpommern;fernwaerme
14550;Groß Kreutz (Havel);Brandenburg;fernwaerme
63538;Großkrotzenburg;Hessen;fernwaerme
24626;Groß Kummerfeld;Schleswig-Holstein;keine fernwaerme
19288;Groß Laasch;Mecklenburg-Vorpommern;fernwaerme
54608;Großlangenfeld;Rheinland-Pfalz;keine fernwaerme
97320;Großlangheim;Bayern;keine fernwaerme
15295;Groß Lindow;Brandenburg;keine fernwaerme
54534;Großlittgen;Rheinland-Pfalz;keine fernwaerme
7751;Großlöbichau;Thüringen;keine fernwaerme
99759;Großlohra;Thüringen;fernwaerme
17337;Groß Luckow;Mecklenburg-Vorpommern;keine fernwaerme
56276;Großmaischeid;Rheinland-Pfalz;fernwaerme
27419;Groß Meckelsen;Niedersachsen;fernwaerme
85098;Großmehring;Bayern;fernwaerme
17349;Groß Miltzow;Mecklenburg-Vorpommern;keine fernwaerme
18445;Groß Mohrdorf;Mecklenburg-Vorpommern;keine fernwaerme
99198;Großmölsen;Thüringen;keine fernwaerme
19217;Groß Molzahn;Mecklenburg-Vorpommern;keine fernwaerme
1936;Großnaundorf;Sachsen;fernwaerme
17094;Groß Nemerow;Mecklenburg-Vorpommern;fernwaerme
99625;Großneuhausen;Thüringen;keine fernwaerme
67259;Großniedesheim;Rheinland-Pfalz;keine fernwaerme
23816;Groß Niendorf;Schleswig-Holstein;keine fernwaerme
25436;Groß Nordende;Schleswig-Holstein;fernwaerme
99439;Großobringen;Thüringen;keine fernwaerme
29393;Groß Oesingen;Niedersachsen;keine fernwaerme
25355;Groß Offenseth-Aspern;Schleswig-Holstein;keine fernwaerme
9432;Großolbersdorf;Sachsen;keine fernwaerme
63762;Großostheim;Bayern;keine fernwaerme
21493;Groß Pampau;Schleswig-Holstein;fernwaerme
16928;Groß Pankow (Prignitz);Brandenburg;fernwaerme
17192;Groß Plasten;Mecklenburg-Vorpommern;fernwaerme
17390;Groß Polzin;Mecklenburg-Vorpommern;keine fernwaerme
4463;Großpösna;Sachsen;keine fernwaerme
2692;Großpostwitz/O.L. - Budestecy;Sachsen;keine fernwaerme
7751;Großpürschütz;Thüringen;keine fernwaerme
38822;Groß Quenstedt;Sachsen-Anhalt;keine fernwaerme
1983;Großräschen;Brandenburg;keine fernwaerme
24872;Groß Rheide;Schleswig-Holstein;keine fernwaerme
97950;Großrinderfeld;Baden-Württemberg;keine fernwaerme
17166;Groß Roge;Mecklenburg-Vorpommern;fernwaerme
68649;Groß-Rohrheim;Hessen;keine fernwaerme
1900;Großröhrsdorf;Sachsen;fernwaerme
23795;Groß Rönnau;Schleswig-Holstein;fernwaerme
66352;Großrosseln;Saarland;fernwaerme
9518;Großrückerswalde;Sachsen;keine fernwaerme
99195;Großrudestedt;Thüringen;fernwaerme
23627;Groß Sarau;Schleswig-Holstein;keine fernwaerme
3149;Groß Schacksdorf-Simmersdorf;Brandenburg;fernwaerme
23860;Groß Schenkenberg;Schleswig-Holstein;keine fernwaerme
9603;Großschirma;Sachsen;keine fernwaerme
2779;Großschönau;Sachsen;fernwaerme
2799;Großschönau;Sachsen;keine fernwaerme
99441;Großschwabhausen;Thüringen;keine fernwaerme
2708;Großschweidnitz;Sachsen;fernwaerme
18276;Groß Schwiesow;Mecklenburg-Vorpommern;fernwaerme
56472;Großseifen;Rheinland-Pfalz;keine fernwaerme
23923;Groß Siemz;Mecklenburg-Vorpommern;fernwaerme
24991;Großsolt;Schleswig-Holstein;fernwaerme
66484;Großsteinhausen;Rheinland-Pfalz;keine fernwaerme
23972;Groß Stieten;Mecklenburg-Vorpommern;fernwaerme
17091;Groß Teetzleben;Mecklenburg-Vorpommern;keine fernwaerme
4932;Großthiemig;Brandenburg;fernwaerme
38464;Groß Twülpstedt;Niedersachsen;keine fernwaerme
64823;Groß-Umstadt;Hessen;keine fernwaerme
99958;Großvargula;Thüringen;keine fernwaerme
24802;Groß Vollstedt;Schleswig-Holstein;keine fernwaerme
63868;Großwallstadt;Bayern;keine fernwaerme
82439;Großweil;Bayern;keine fernwaerme
4720;Großweitzschen;Sachsen;fernwaerme
24361;Groß Wittensee;Schleswig-Holstein;fernwaerme
17166;Groß Wokern;Mecklenburg-Vorpommern;fernwaerme
16775;Großwoltersdorf;Brandenburg;fernwaerme
17168;Groß Wüstenfelde;Mecklenburg-Vorpommern;fernwaerme
64846;Groß-Zimmern;Hessen;keine fernwaerme
25836;Grothusenkoog;Schleswig-Holstein;keine fernwaerme
21493;Grove;Schleswig-Holstein;fernwaerme
25774;Groven;Schleswig-Holstein;keine fernwaerme
98530;Grub;Thüringen;keine fernwaerme
96271;Grub a.Forst;Bayern;keine fernwaerme
23749;Grube;Schleswig-Holstein;keine fernwaerme
73344;Gruibingen;Baden-Württemberg;keine fernwaerme
67745;Grumbach;Rheinland-Pfalz;keine fernwaerme
8223;Grünbach;Sachsen;fernwaerme
35305;Grünberg;Hessen;keine fernwaerme
63584;Gründau;Hessen;keine fernwaerme
24977;Grundhof;Schleswig-Holstein;keine fernwaerme
89613;Grundsheim;Baden-Württemberg;keine fernwaerme
57520;Grünebach;Rheinland-Pfalz;keine fernwaerme
88167;Grünenbach;Bayern;keine fernwaerme
21720;Grünendeich;Niedersachsen;keine fernwaerme
1945;Grünewald;Brandenburg;keine fernwaerme
8344;Grünhain-Beierfeld;Sachsen;keine fernwaerme
9579;Grünhainichen;Sachsen;keine fernwaerme
15537;Grünheide (Mark);Brandenburg;fernwaerme
88287;Grünkraut;Baden-Württemberg;keine fernwaerme
17291;Grünow;Brandenburg;fernwaerme
17237;Grünow;Mecklenburg-Vorpommern;keine fernwaerme
15299;Grunow-Dammendorf;Brandenburg;keine fernwaerme
97947;Grünsfeld;Baden-Württemberg;keine fernwaerme
67269;Grünstadt;Rheinland-Pfalz;keine fernwaerme
82031;Grünwald;Bayern;fernwaerme
82064;Grünwald;Bayern;keine fernwaerme
74417;Gschwend;Baden-Württemberg;keine fernwaerme
83257;Gstadt am Chiemsee;Bayern;keine fernwaerme
3172;Guben;Brandenburg;fernwaerme
24357;Güby;Schleswig-Holstein;keine fernwaerme
56459;Guckheim;Rheinland-Pfalz;keine fernwaerme
65558;Gückingen;Rheinland-Pfalz;keine fernwaerme
25693;Gudendorf;Schleswig-Holstein;fernwaerme
34281;Gudensberg;Hessen;keine fernwaerme
21720;Guderhandviertel;Niedersachsen;keine fernwaerme
23899;Gudow;Schleswig-Holstein;keine fernwaerme
88379;Guggenhausen;Baden-Württemberg;keine fernwaerme
74363;Güglingen;Baden-Württemberg;keine fernwaerme
3096;Guhrow;Brandenburg;keine fernwaerme
55452;Guldental;Rheinland-Pfalz;keine fernwaerme
19348;Gülitz-Reetz;Brandenburg;fernwaerme
56593;Güllesheim;Rheinland-Pfalz;keine fernwaerme
17089;Gültz;Mecklenburg-Vorpommern;keine fernwaerme
17153;Gülzow;Mecklenburg-Vorpommern;fernwaerme
21483;Gülzow;Schleswig-Holstein;keine fernwaerme
18276;Gülzow-Prüzen;Mecklenburg-Vorpommern;fernwaerme
55597;Gumbsheim;Rheinland-Pfalz;keine fernwaerme
51643;Gummersbach;Nordrhein-Westfalen;fernwaerme
51645;Gummersbach;Nordrhein-Westfalen;keine fernwaerme
51647;Gummersbach;Nordrhein-Westfalen;keine fernwaerme
7768;Gumperda;Thüringen;fernwaerme
16866;Gumtow;Brandenburg;fernwaerme
79194;Gundelfingen;Baden-Württemberg;fernwaerme
89423;Gundelfingen a.d.Donau;Bayern;fernwaerme
96163;Gundelsheim;Bayern;keine fernwaerme
74831;Gundelsheim;Baden-Württemberg;fernwaerme
56767;Gunderath;Rheinland-Pfalz;keine fernwaerme
67598;Gundersheim;Rheinland-Pfalz;keine fernwaerme
67724;Gundersweiler;Rheinland-Pfalz;keine fernwaerme
67599;Gundheim;Rheinland-Pfalz;keine fernwaerme
89355;Gundremmingen;Bayern;keine fernwaerme
78594;Gunningen;Baden-Württemberg;keine fernwaerme
99631;Günstedt;Thüringen;keine fernwaerme
67583;Guntersblum;Rheinland-Pfalz;keine fernwaerme
97261;Güntersleben;Bayern;keine fernwaerme
87634;Günzach;Bayern;keine fernwaerme
89312;Günzburg;Bayern;fernwaerme
91710;Gunzenhausen;Bayern;fernwaerme
29476;Gusborn;Niedersachsen;keine fernwaerme
54413;Gusenburg;Rheinland-Pfalz;keine fernwaerme
15306;Gusow-Platkow;Brandenburg;fernwaerme
39439;Güsten;Sachsen-Anhalt;fernwaerme
21514;Güster;Schleswig-Holstein;keine fernwaerme
54317;Gusterath;Rheinland-Pfalz;keine fernwaerme
18574;Gustow;Mecklenburg-Vorpommern;fernwaerme
18273;Güstrow;Mecklenburg-Vorpommern;fernwaerme
79261;Gutach im Breisgau;Baden-Württemberg;keine fernwaerme
77793;Gutach (Schwarzwaldbahn);Baden-Württemberg;keine fernwaerme
1945;Guteborn;Brandenburg;keine fernwaerme
56370;Gutenacker;Rheinland-Pfalz;keine fernwaerme
78148;Gütenbach;Baden-Württemberg;keine fernwaerme
55595;Gutenberg;Rheinland-Pfalz;fernwaerme
6712;Gutenborn;Sachsen-Anhalt;fernwaerme
92543;Guteneck;Bayern;keine fernwaerme
91468;Gutenstetten;Bayern;keine fernwaerme
88484;Gutenzell-Hürbel;Baden-Württemberg;keine fernwaerme
33330;Gütersloh;Nordrhein-Westfalen;keine fernwaerme
33332;Gütersloh;Nordrhein-Westfalen;keine fernwaerme
33333;Gütersloh;Nordrhein-Westfalen;keine fernwaerme
33334;Gütersloh;Nordrhein-Westfalen;keine fernwaerme
33335;Gütersloh;Nordrhein-Westfalen;keine fernwaerme
99628;Guthmannshausen;Thüringen;keine fernwaerme
18276;Gutow;Mecklenburg-Vorpommern;fernwaerme
95358;Guttenberg;Bayern;keine fernwaerme
54317;Gutweiler;Rheinland-Pfalz;keine fernwaerme
17506;Gützkow;Mecklenburg-Vorpommern;fernwaerme
34302;Guxhagen;Hessen;keine fernwaerme
27404;Gyhum;Niedersachsen;fernwaerme
95473;Haag;Bayern;keine fernwaerme
85410;Haag an der Amper;Bayern;keine fernwaerme
83527;Haag in Oberbayern;Bayern;keine fernwaerme
24819;Haale;Schleswig-Holstein;keine fernwaerme
42781;Haan;Nordrhein-Westfalen;fernwaerme
85540;Haar;Bayern;fernwaerme
94501;Haarbach;Bayern;keine fernwaerme
94542;Haarbach;Bayern;keine fernwaerme
82392;Habach;Bayern;keine fernwaerme
34317;Habichtswald;Hessen;keine fernwaerme
54597;Habscheid;Rheinland-Pfalz;keine fernwaerme
24361;Haby;Schleswig-Holstein;fernwaerme
57627;Hachenburg;Rheinland-Pfalz;keine fernwaerme
55546;Hackenheim;Rheinland-Pfalz;keine fernwaerme
65589;Hadamar;Hessen;keine fernwaerme
29693;Hademstorf;Niedersachsen;keine fernwaerme
25560;Hadenfeld;Schleswig-Holstein;keine fernwaerme
97840;Hafenlohr;Bayern;fernwaerme
26524;Hage;Niedersachsen;keine fernwaerme
79685;Häg-Ehrsberg;Baden-Württemberg;keine fernwaerme
93095;Hagelstadt;Bayern;keine fernwaerme
24576;Hagen;Schleswig-Holstein;fernwaerme
58089;Hagen;Nordrhein-Westfalen;keine fernwaerme
58091;Hagen;Nordrhein-Westfalen;keine fernwaerme
58093;Hagen;Nordrhein-Westfalen;fernwaerme
58095;Hagen;Nordrhein-Westfalen;fernwaerme
58097;Hagen;Nordrhein-Westfalen;fernwaerme
58099;Hagen;Nordrhein-Westfalen;fernwaerme
58119;Hagen;Nordrhein-Westfalen;keine fernwaerme
58135;Hagen;Nordrhein-Westfalen;fernwaerme
49170;Hagen am Teutoburger Wald;Niedersachsen;keine fernwaerme
76767;Hagenbach;Rheinland-Pfalz;keine fernwaerme
91469;Hagenbüchach;Bayern;keine fernwaerme
31558;Hagenburg;Niedersachsen;keine fernwaerme
27628;Hagen im Bremischen;Niedersachsen;keine fernwaerme
19230;Hagenow;Mecklenburg-Vorpommern;fernwaerme
26524;Hagermarsch;Niedersachsen;keine fernwaerme
88709;Hagnau am Bodensee;Baden-Württemberg;fernwaerme
38729;Hahausen;Niedersachsen;keine fernwaerme
56850;Hahn;Rheinland-Pfalz;keine fernwaerme
56244;Hahn am See;Rheinland-Pfalz;keine fernwaerme
92256;Hahnbach;Bayern;keine fernwaerme
56472;Hahn bei Marienberg;Rheinland-Pfalz;keine fernwaerme
55606;Hahnenbach;Rheinland-Pfalz;keine fernwaerme
55278;Hahnheim;Rheinland-Pfalz;keine fernwaerme
2923;Hähnichen;Sachsen;keine fernwaerme
65623;Hahnstätten;Rheinland-Pfalz;keine fernwaerme
55776;Hahnweiler;Rheinland-Pfalz;keine fernwaerme
63808;Haibach;Bayern;keine fernwaerme
94353;Haibach;Bayern;keine fernwaerme
94145;Haidmühle;Bayern;keine fernwaerme
35708;Haiger;Hessen;keine fernwaerme
72401;Haigerloch;Baden-Württemberg;fernwaerme
85778;Haimhausen;Bayern;fernwaerme
84533;Haiming;Bayern;keine fernwaerme
35114;Haina;Hessen;keine fernwaerme
99869;Haina;Thüringen;fernwaerme
56357;Hainau;Rheinland-Pfalz;keine fernwaerme
63512;Hainburg;Hessen;keine fernwaerme
2779;Hainewalde;Sachsen;fernwaerme
76835;Hainfeld;Rheinland-Pfalz;keine fernwaerme
9661;Hainichen;Sachsen;fernwaerme
7778;Hainichen;Thüringen;keine fernwaerme
99735;Hainrode/Hainleite;Thüringen;keine fernwaerme
86744;Hainsfarth;Bayern;keine fernwaerme
7607;Hainspitz;Thüringen;fernwaerme
72221;Haiterbach;Baden-Württemberg;keine fernwaerme
15757;Halbe;Brandenburg;keine fernwaerme
26524;Halbemond;Niedersachsen;keine fernwaerme
38820;Halberstadt;Sachsen-Anhalt;fernwaerme
38822;Halberstadt;Sachsen-Anhalt;keine fernwaerme
