"abrechnungsjahr";"mean_spzverbrauch"
2002;139,665951186197
2003;143,099875880054
2004;133,389855880769
2005;133,256056643121
2006;135,819690155771
2007;124,052719700213
2008;123,480801805509
2009;128,873055474598
2010;136,371514622485
2011;124,780073900566
2012;123,340296628776
2013;122,208252117745
2014;105,043263162674
2015;104,753358779784
2016;115,255630011835
2017;107,835238162986
2018;113,466513548802
