"abrechnungsjahr";"spez_co2"
2002;30,7408771489094
2003;33,0834864572983
2004;31,6435158024333
2005;32,1392330490561
2006;32,9112576633771
2007;29,3203000008882
2008;28,6968132323088
2009;28,46563479605
2010;30,2120660351197
2011;29,924757684063
2012;29,3176973057229
2013;29,3441227314321
2014;24,6574915781482
2015;21,8978899208779
2016;23,172317439621
2017;22,1780846313883
2018;22,8744273611576
