"abrechnungsjahr";"totArea"
2002;155,441
2003;156,317
2004;157,193
2005;158,068
2006;158,944
2007;159,82
2008;160,695
2009;161,571
2010;162,447
2011;163,322
2012;164,198
2013;165,074
2014;165,949
2015;166,825
2016;167,701
2017;168,576
2018;169,452
