"abrechnungsjahr";"totArea"
2002;127,248
2003;127,792
2004;128,23
2005;128,723
2006;129,193
2007;129,647
2008;130,2
2009;130,801
2010;131,436
2011;132,058
2012;132,567
2013;133,122
2014;133,641
2015;134,211
2016;134,761
2017;135,361
2018;135,811
