"abrechnungsjahr";"spez_co2"
2002;43,3016342705746
2003;45,3405417029139
2004;43,5856364007368
2005;42,2798300467732
2006;42,2705408116006
2007;40,2056487505535
2008;39,1999132069126
2009;39,5562542087316
2010;40,8430687690774
2011;39,2209799466761
2012;38,9165250163457
2013;38,2561869862049
2014;35,2466749729488
2015;31,1851796403962
2016;34,3647318341084
2017;34,0896731418862
2018;33,6108344548905
