"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
68305;"Baden-Württemberg";1900;"waerme";2006;360;50000;166,67;"Mannheim";"MFH"
68199;"Baden-Württemberg";1995;"waerme";2004;5455,87;312830;68,81;"Mannheim";"MFH"
68219;"Baden-Württemberg";1969;"erdgas";2007;960;108000;135;"Mannheim";"MFH"
68163;"Baden-Württemberg";1937;"heizoel";2005;330;39312;142,95;"Mannheim";"MFH"
68199;"Baden-Württemberg";1979;"erdgas";2005;1130,77;167390;177,64;"Mannheim";"MFH"
68307;"Baden-Württemberg";1960;"heizoel";2014;338,4;50400;178,72;"Mannheim";"MFH"
68165;"Baden-Württemberg";1949;"waerme";2007;408;55000;161,76;"Mannheim";"MFH"
68163;"Baden-Württemberg";1912;"waerme";2006;1440;140000;116,67;"Mannheim";"MFH"
68159;"Baden-Württemberg";1960;"waerme";2008;2595,6;79000;36,52;"Mannheim";"MFH"
68219;"Baden-Württemberg";1993;"erdgas";2005;2704,63;255330;113,28;"Mannheim";"MFH"
68165;"Baden-Württemberg";1925;"heizoel";2009;1594,8;191388,96;144,01;"Mannheim";"MFH"
68165;"Baden-Württemberg";1983;"waerme";2005;877,2;88000;120,38;"Mannheim";"MFH"
68239;"Baden-Württemberg";1982;"waerme";2016;373,66;35240;113,17;"Mannheim";"MFH"
68165;"Baden-Württemberg";1950;"waerme";2007;1343,8;132626;118,44;"Mannheim";"MFH"
68219;"Baden-Württemberg";1983;"erdgas";2007;440,35;45320;123,5;"Mannheim";"MFH"
68259;"Baden-Württemberg";1960;"heizoel";2004;360;34999,98;116,67;"Mannheim";"MFH"
68161;"Baden-Württemberg";1987;"waerme";2004;1938,43;261955;162,17;"Mannheim";"MFH"
68239;"Baden-Württemberg";1965;"erdgas";2004;360;48600;162;"Mannheim";"MFH"
68161;"Baden-Württemberg";1986;"waerme";2005;1337,17;138070;123,9;"Mannheim";"MFH"
68239;"Baden-Württemberg";1965;"erdgas";2005;360;48600;162;"Mannheim";"MFH"
68259;"Baden-Württemberg";1967;"heizoel";2006;300;45360;181,44;"Mannheim";"MFH"
68259;"Baden-Württemberg";1983;"waerme";2005;422,4;34000;96,59;"Mannheim";"MFH"
68163;"Baden-Württemberg";1956;"heizoel";2011;339,6;60480;213,71;"Mannheim";"MFH"
68229;"Baden-Württemberg";1984;"heizoel";2005;427,68;68755,68;192,92;"Mannheim";"MFH"
68159;"Baden-Württemberg";1860;"erdgas";2005;780;2e+05;307,69;"Mannheim";"MFH"
68199;"Baden-Württemberg";1994;"waerme";2005;452,4;55000;145,89;"Mannheim";"MFH"
68199;"Baden-Württemberg";1957;"waerme";2003;336;35000;125;"Mannheim";"MFH"
68259;"Baden-Württemberg";2000;"erdgas";2005;2203,69;164020,5;89,31;"Mannheim";"MFH"
68165;"Baden-Württemberg";1982;"waerme";2014;2548,8;362430;170,64;"Mannheim";"MFH"
