"";"abrechnungsjahr";"sum_nutzflaeche"
"1";2002;2141724,68
"2";2003;4682484,13
"3";2004;5108486,87
"4";2005;6500073,73
"5";2006;6608105,12
"6";2007;6709008,55
"7";2008;7605202,3
"8";2009;10774663,96
"9";2010;5733212,95
"10";2011;4555442,98
"11";2012;4435685,53
"12";2013;2467701,18
"13";2014;1531642,38
"14";2015;1552046,16
"15";2016;1481949,11
"16";2017;2105472,07
"17";2018;14523,6
